t,alpha,v,r_cmd,i_cmd
2.200000000e+00,7.015102434e-04,-4.335027338e-01,5.044836202e-01,4.844842333e-01
2.220000000e+00,6.707498548e-04,-4.296307938e-01,4.986218693e-01,-5.123126922e-02
2.240000000e+00,6.446220748e-04,-4.297281325e-01,4.959357867e-01,-2.875474795e-01
2.260000000e+00,6.242791147e-04,-4.314359142e-01,4.951456329e-01,-3.478542276e-01
2.280000000e+00,6.093423901e-04,-4.334110625e-01,4.953512433e-01,-3.178255192e-01
2.300000000e+00,5.987853299e-04,-4.349979001e-01,4.959760574e-01,-2.516095217e-01
2.320000000e+00,5.914513257e-04,-4.359635003e-01,4.966874212e-01,-1.799292839e-01
2.340000000e+00,5.863128739e-04,-4.363063869e-01,4.973194389e-01,-1.176956049e-01
2.360000000e+00,5.825685900e-04,-4.361306758e-01,4.978099140e-01,-7.012207765e-02
2.380000000e+00,5.796500698e-04,-4.355710959e-01,4.981542702e-01,-3.713361358e-02
2.400000000e+00,5.771865002e-04,-4.347537304e-01,4.983749225e-01,-1.625943824e-02
2.420000000e+00,5.749559060e-04,-4.337795980e-01,4.985028133e-01,-4.351461151e-03
2.440000000e+00,5.728384244e-04,-4.327213789e-01,4.985675796e-01,1.519972584e-03
2.460000000e+00,5.707782822e-04,-4.316266745e-01,4.985932963e-01,3.694874643e-03
2.480000000e+00,5.687560601e-04,-4.305236932e-01,4.985974716e-01,3.853375454e-03
2.500000000e+00,5.667702491e-04,-4.294270882e-01,4.985916893e-01,3.094256569e-03
2.520000000e+00,5.648260916e-04,-4.283428864e-01,4.985828951e-01,2.068046785e-03
2.540000000e+00,5.629295794e-04,-4.272721773e-01,4.985747587e-01,1.112658181e-03
2.560000000e+00,5.610847774e-04,-4.262136194e-01,4.985688433e-01,3.674562829e-04
2.580000000e+00,5.592930877e-04,-4.251649886e-01,4.985654905e-01,-1.415945680e-04
2.600000000e+00,5.575534995e-04,-4.241240304e-01,4.985644284e-01,-4.442138186e-04
2.620000000e+00,5.558632286e-04,-4.230888535e-01,4.985651511e-01,-5.902383895e-04
2.640000000e+00,5.542184118e-04,-4.220580478e-01,4.985671301e-01,-6.300942478e-04
2.660000000e+00,5.526146966e-04,-4.210306573e-01,4.985699154e-01,-6.058363666e-04
2.680000000e+00,5.510476723e-04,-4.200060919e-01,4.985731676e-01,-5.484970488e-04
2.700000000e+00,5.495131476e-04,-4.189840259e-01,4.985766543e-01,-4.787469248e-04
2.720000000e+00,5.480073015e-04,-4.179643077e-01,4.985802305e-01,-4.089503550e-04
2.740000000e+00,5.465267442e-04,-4.169468890e-01,4.985838152e-01,-3.455087829e-04
2.760000000e+00,5.450685202e-04,-4.159317759e-01,4.985873698e-01,-2.909404579e-04
2.780000000e+00,5.436300780e-04,-4.149189968e-01,4.985908813e-01,-2.454899045e-04
2.800000000e+00,5.422092250e-04,-4.139085849e-01,4.985943508e-01,-2.082521131e-04
2.820000000e+00,5.408040784e-04,-4.129005689e-01,4.985977849e-01,-1.778861298e-04
2.840000000e+00,5.394130186e-04,-4.118949695e-01,4.986011920e-01,-1.530210089e-04
2.860000000e+00,5.380346478e-04,-4.108917993e-01,4.986045796e-01,-1.324526938e-04
2.880000000e+00,5.366677556e-04,-4.098910644e-01,4.986079535e-01,-1.152118540e-04
