t_s,v_ref,dec_v,dec_alpha,dec_i,dec_vbus,dec500_v,dec500_alpha,dec500_i,dec500_vbus,mimo_v,mimo_alpha,mimo_i,mimo_vbus
2.6500000e-01,-2.0000000e+00,-1.8510989e+00,2.9257287e-04,-2.0000000e+01,1.4873300e+00,-1.8510989e+00,2.9590587e-04,-2.0000000e+01,1.4873298e+00,-1.4122396e+00,-1.0046811e-03,-1.8346991e+00,1.9173718e-01
2.7000000e-01,-2.0000000e+00,-1.8951684e+00,4.0797389e-04,-2.0000000e+01,1.4893372e+00,-1.8951684e+00,4.1745868e-04,-2.0000000e+01,1.4893401e+00,-1.4155855e+00,-1.1066060e-03,-1.4453910e+00,1.6695839e-01
2.7500000e-01,-2.0000000e+00,-1.9392147e+00,4.2410152e-04,-1.9968258e+01,1.4911028e+00,-1.9392147e+00,4.3137415e-04,-1.9968258e+01,1.4911033e+00,-1.4182111e+00,-8.7689260e-04,-1.2331020e+00,1.4753903e-01
2.8000000e-01,-2.0000000e+00,-1.9831487e+00,-8.8773083e-04,-1.9498517e+01,1.4823307e+00,-1.9831487e+00,-8.8983233e-04,-1.9498517e+01,1.4823305e+00,-1.4202233e+00,-9.9527039e-04,-9.7866126e-01,1.2861371e-01
2.8500000e-01,-2.0000000e+00,-2.0263363e+00,-5.2299399e-03,-1.8808154e+01,1.4471737e+00,-2.0263363e+00,-5.3192353e-03,-1.8808154e+01,1.4471601e+00,-1.4216957e+00,-9.4847420e-04,-8.2373282e-01,1.1309874e-01
2.9000000e-01,-2.0000000e+00,-2.0677846e+00,-1.2261476e-02,-1.7309347e+01,1.3732532e+00,-2.0677846e+00,-1.2783126e-02,-1.7309347e+01,1.3731263e+00,-1.4227157e+00,-9.8694047e-04,-6.1096875e-01,9.9713582e-02
2.9500000e-01,-2.0000000e+00,-2.1065284e+00,-1.8495341e-02,-1.6096868e+01,1.2817780e+00,-2.1065284e+00,-1.9087852e-02,-1.6096868e+01,1.2816954e+00,-1.4233534e+00,-8.3704958e-04,-5.0341899e-01,8.9785141e-02
3.0000000e-01,-2.0000000e+00,-2.1419704e+00,-2.4070108e-02,-1.4100581e+01,1.1654974e+00,-2.1419704e+00,-2.5188207e-02,-1.4100581e+01,1.1652169e+00,-1.4236785e+00,-8.9845454e-04,-3.8777235e-01,8.0230315e-02
3.0500000e-01,-2.0000000e+00,-2.1736612e+00,-2.7102351e-02,-1.2715336e+01,1.0500945e+00,-2.1736612e+00,-2.7877513e-02,-1.2715336e+01,1.0500048e+00,-1.4237393e+00,-9.0017389e-04,-3.1689406e-01,7.2553065e-02
3.1000000e-01,-2.0000000e+00,-2.2014811e+00,-2.9407494e-02,-1.0636570e+01,9.2198523e-01,-2.2014811e+00,-3.0580739e-02,-1.0636570e+01,9.2167516e-01,-1.4235899e+00,-8.9997380e-04,-2.1823680e-01,6.6618206e-02
3.1500000e-01,-2.0000000e+00,-2.2253339e+00,-2.9650783e-02,-9.2836564e+00,8.0447535e-01,-2.2253339e+00,-3.0297308e-02,-9.2836564e+00,8.0442291e-01,-1.4232764e+00,-8.0405251e-04,-1.7640731e-01,6.2741635e-02
3.2000000e-01,-2.0000000e+00,-2.2453623e+00,-2.9754063e-02,-7.3436105e+00,6.8148727e-01,-2.2453623e+00,-3.0755965e-02,-7.3436105e+00,6.8120783e-01,-1.4228398e+00,-8.3133327e-04,-1.4509218e-01,5.9037100e-02
3.2500000e-01,-2.0000000e+00,-2.2616594e+00,-2.8438575e-02,-6.1252891e+00,5.7310073e-01,-2.2616594e+00,-2.8914821e-02,-6.1252891e+00,5.7308157e-01,-1.4223081e+00,-8.6117520e-04,-1.2432419e-01,5.6153963e-02
