w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
1.642626584e+00,5.384755711e-02,3.996678668e-02,1.003529914e+00,9.994317033e-01
1.690714103e+00,5.544162569e-02,4.113295851e-02,1.003628113e+00,9.993922193e-01
1.740209374e+00,5.708319902e-02,4.233292720e-02,1.003732389e+00,9.993500853e-01
1.791153607e+00,5.877376384e-02,4.356765200e-02,1.003843110e+00,9.993051393e-01
1.843589222e+00,6.051485846e-02,4.483811768e-02,1.003960669e+00,9.992572106e-01
1.897559877e+00,6.230807496e-02,4.614533500e-02,1.004085479e+00,9.992061191e-01
1.953110510e+00,6.415506153e-02,4.749034129e-02,1.004217977e+00,9.991516748e-01
2.010287376e+00,6.605752500e-02,4.887420092e-02,1.004358627e+00,9.990936773e-01
2.069138081e+00,6.801723349e-02,5.029800587e-02,1.004507917e+00,9.990319151e-01
2.129711628e+00,7.003601914e-02,5.176287623e-02,1.004666366e+00,9.989661648e-01
2.192058451e+00,7.211578116e-02,5.326996069e-02,1.004834520e+00,9.988961907e-01
2.256230463e+00,7.425848894e-02,5.482043708e-02,1.005012960e+00,9.988217438e-01
2.322281096e+00,7.646618538e-02,5.641551282e-02,1.005202299e+00,9.987425608e-01
2.390265347e+00,7.874099046e-02,5.805642546e-02,1.005403187e+00,9.986583635e-01
2.460239821e+00,8.108510504e-02,5.974444307e-02,1.005616310e+00,9.985688581e-01
2.532262782e+00,8.350081481e-02,6.148086476e-02,1.005842398e+00,9.984737333e-01
2.606394198e+00,8.599049464e-02,6.326702106e-02,1.006082222e+00,9.983726602e-01
2.682695795e+00,8.855661306e-02,6.510427438e-02,1.006336599e+00,9.982652907e-01
2.761231104e+00,9.120173717e-02,6.699401939e-02,1.006606396e+00,9.981512564e-01
2.842065516e+00,9.392853778e-02,6.893768336e-02,1.006892529e+00,9.980301672e-01
2.925266337e+00,9.673979492e-02,7.093672655e-02,1.007195970e+00,9.979016103e-01
3.010902844e+00,9.963840375e-02,7.299264248e-02,1.007517752e+00,9.977651484e-01
3.099046339e+00,1.026273808e-01,7.510695826e-02,1.007858966e+00,9.976203183e-01
3.189770215e+00,1.057098708e-01,7.728123480e-02,1.008220771e+00,9.974666296e-01
3.283150013e+00,1.088891537e-01,7.951706706e-02,1.008604395e+00,9.973035626e-01
3.379263482e+00,1.121686524e-01,8.181608420e-02,1.009011140e+00,9.971305667e-01
3.478190651e+00,1.155519410e-01,8.417994975e-02,1.009442388e+00,9.969470586e-01
3.580013891e+00,1.190427537e-01,8.661036168e-02,1.009899603e+00,9.967524200e-01
3.684817983e+00,1.226449938e-01,8.910905248e-02,1.010384339e+00,9.965459958e-01
3.792690191e+00,1.263627444e-01,9.167778914e-02,1.010898244e+00,9.963270918e-01
3.903720333e+00,1.302002785e-01,9.431837316e-02,1.011443067e+00,9.960949722e-01
4.018000857e+00,1.341620713e-01,9.703264040e-02,1.012020661e+00,9.958488571e-01
4.135626918e+00,1.382528120e-01,9.982246099e-02,1.012632996e+00,9.955879199e-01
4.256696455e+00,1.424774175e-01,1.026897391e-01,1.013282160e+00,9.953112843e-01
4.381310275e+00,1.468410467e-01,1.056364129e-01,1.013970368e+00,9.950180216e-01
