w_rad_s,ratio12_nominal,cond_nominal,sigmax_nominal,sigmin_nominal,ratio12_light_load_0p5A,cond_light_load_0p5A,sigmax_light_load_0p5A,sigmin_light_load_0p5A,ratio12_fc_cruise_r0p85,cond_fc_cruise_r0p85,sigmax_fc_cruise_r0p85,sigmin_fc_cruise_r0p85
8.26084209e+02,4.47424329e-01,4.13837176e+02,6.37611686e+00,1.54073081e-02,7.15878926e+00,1.80157129e+04,4.20694896e+01,2.33515542e-03,2.97634445e-01,2.87772585e+02,4.65553415e+00,1.61778237e-02
8.45354028e+02,4.43272972e-01,4.23115303e+02,6.32009263e+00,1.49370457e-02,7.09236756e+00,1.81418044e+04,4.13841764e+01,2.28114996e-03,2.94872890e-01,2.94690027e+02,4.61827815e+00,1.56716473e-02
8.65073349e+02,4.39049930e-01,4.32596496e+02,6.26297473e+00,1.44776363e-02,7.02479887e+00,1.82603155e+04,4.06905256e+01,2.22835830e-03,2.92063649e-01,3.01776198e+02,4.58020528e+00,1.51774902e-02
8.85252657e+02,4.34757337e-01,4.42285287e+02,6.20478444e+00,1.40289189e-02,6.95611739e+00,1.83710018e+04,3.99891223e+01,2.17675240e-03,2.89208141e-01,3.09034991e+02,4.54132487e+00,1.46951802e-02
9.05902681e+02,4.30397501e-01,4.52186318e+02,6.14554538e+00,1.35907371e-02,6.88636001e+00,1.84736351e+04,3.92805809e+01,2.12630491e-03,2.86307903e-01,3.16470354e+02,4.50164796e+00,1.42245487e-02
9.27034402e+02,4.25972892e-01,4.62304337e+02,6.08528346e+00,1.31629383e-02,6.81556627e+00,1.85680052e+04,3.85655433e+01,2.07698904e-03,2.83364576e-01,3.24086289e+02,4.46118722e+00,1.37654303e-02
9.48659057e+02,4.21486139e-01,4.72644206e+02,6.02402687e+00,1.27453734e-02,6.74377823e+00,1.86539207e+04,3.78446763e+01,2.02877866e-03,2.80379910e-01,3.31886851e+02,4.41995701e+00,1.33176623e-02
9.70788143e+02,4.16940024e-01,4.83210891e+02,5.96180598e+00,1.23378965e-02,6.67104038e+00,1.87312106e+04,3.71186698e+01,1.98164820e-03,2.77355755e-01,3.39876144e+02,4.37797334e+00,1.28810845e-02
9.93433428e+02,4.12337470e-01,4.94009473e+02,5.89865330e+00,1.19403648e-02,6.59739951e+00,1.87997249e+04,3.63882340e+01,1.93557269e-03,2.74294056e-01,3.48058321e+02,4.33525386e+00,1.24555386e-02
1.01660695e+03,4.07681536e-01,5.05045140e+02,5.83460342e+00,1.15526375e-02,6.52290458e+00,1.88593360e+04,3.56540972e+01,1.89052770e-03,2.71196848e-01,3.56437583e+02,4.29181783e+00,1.20408679e-02
1.04032104e+03,4.02975407e-01,5.16323187e+02,5.76969288e+00,1.11745764e-02,6.44760652e+00,1.89099392e+04,3.49170020e+01,1.84648938e-03,2.68066249e-01,3.65018174e+02,4.24768611e+00,1.16369168e-02
1.06458830e+03,3.98222384e-01,5.27849021e+02,5.70396007e+00,1.08060446e-02,6.37155814e+00,1.89514536e+04,3.41777037e+01,1.80343441e-03,2.64904455e-01,3.73804384e+02,4.20288109e+00,1.12435307e-02
1.08942163e+03,3.93425869e-01,5.39628151e+02,5.63744517e+00,1.04469071e-02,6.29481391e+00,1.89838225e+04,3.34369660e+01,1.76134001e-03,2.61713730e-01,3.82800542e+02,4.15742664e+00,1.08605558e-02
1.11483424e+03,3.88589361e-01,5.51666195e+02,5.57018995e+00,1.00970297e-02,6.21742978e+00,1.90070138e+04,3.26955588e+01,1.72018389e-03,2.58496401e-01,3.92011017e+02,4.11134807e+00,1.04878381e-02
1.14083965e+03,3.83716439e-01,5.63968870e+02,5.50223773e+00,9.75627915e-03,6.13946302e+00,1.90210204e+04,3.19542545e+01,1.67994429e-03,2.55254848e-01,4.01440213e+02,4.06467206e+00,1.01252239e-02
1.16745168e+03,3.78810750e-01,5.76541997e+02,5.43363316e+00,9.42452274e-03,6.06097200e+00,1.90258601e+04,3.12138249e+01,1.64059994e-03,2.51991499e-01,4.11092574e+02,4.01742657e+00,9.77255933e-03
1.19468447e+03,3.73875999e-01,5.89391492e+02,5.36442214e+00,9.10162805e-03,5.98201598e+00,1.90215758e+04,3.04750384e+01,1.60213006e-03,2.48708817e-01,4.20972573e+02,3.96964076e+00,9.42968976e-03
1.22255252e+03,3.68915934e-01,6.02523368e+02,5.29465162e+00,8.78746271e-03,5.90265495e+00,1.90082350e+04,2.97386561e+01,1.56451433e-03,2.45409295e-01,4.31084717e+02,3.92134493e+00,9.09646013e-03
1.25107064e+03,3.63934336e-01,6.15943728e+02,5.22436951e+00,8.48189416e-03,5.82294938e+00,1.89859296e+04,2.90054295e+01,1.52773291e-03,2.42095450e-01,4.41433541e+02,3.87257041e+00,8.77271446e-03
1.28025399e+03,3.58935004e-01,6.29658764e+02,5.15362444e+00,8.18478951e-03,5.74296007e+00,1.89547753e+04,2.82760969e+01,1.49176640e-03,2.38769807e-01,4.52023608e+02,3.82334942e+00,8.45829587e-03
1.31011809e+03,3.53921742e-01,6.43674751e+02,5.08246569e+00,7.89601531e-03,5.66274788e+00,1.89149110e+04,2.75513808e+01,1.45659585e-03,2.35434898e-01,4.62859508e+02,3.77371505e+00,8.15304641e-03
1.34067882e+03,3.48898350e-01,6.57998044e+02,5.01094295e+00,7.61543746e-03,5.58237360e+00,1.88664980e+04,2.68319851e+01,1.42220274e-03,2.32093250e-01,4.73945853e+02,3.72370109e+00,7.85680698e-03
