w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
1.381499962e+00,9.022541563e-02,2.469064858e-02,9.998766831e-01,9.990916762e-01
1.421943059e+00,9.286491854e-02,2.541330194e-02,9.998693577e-01,9.990374927e-01
1.463570118e+00,9.558152411e-02,2.615709636e-02,9.998615972e-01,9.989800633e-01
1.506415800e+00,9.837747380e-02,2.692264945e-02,9.998533758e-01,9.989191920e-01
1.550515780e+00,1.012550732e-01,2.771059676e-02,9.998446661e-01,9.988546707e-01
1.595906776e+00,1.042166938e-01,2.852159232e-02,9.998354391e-01,9.987862784e-01
1.642626584e+00,1.072647747e-01,2.935630917e-02,9.998256642e-01,9.987137806e-01
1.690714103e+00,1.104018244e-01,3.021543990e-02,9.998153087e-01,9.986369281e-01
1.740209374e+00,1.136304226e-01,3.109969722e-02,9.998043382e-01,9.985554564e-01
1.791153607e+00,1.169532223e-01,3.200981449e-02,9.997927162e-01,9.984690847e-01
1.843589222e+00,1.203729514e-01,3.294654638e-02,9.997804040e-01,9.983775146e-01
1.897559877e+00,1.238924148e-01,3.391066942e-02,9.997673606e-01,9.982804290e-01
1.953110510e+00,1.275144963e-01,3.490298261e-02,9.997535427e-01,9.981774912e-01
2.010287376e+00,1.312421606e-01,3.592430813e-02,9.997389042e-01,9.980683432e-01
2.069138081e+00,1.350784554e-01,3.697549193e-02,9.997233965e-01,9.979526046e-01
2.129711628e+00,1.390265133e-01,3.805740440e-02,9.997069679e-01,9.978298710e-01
2.192058451e+00,1.430895540e-01,3.917094110e-02,9.996895639e-01,9.976997124e-01
2.256230463e+00,1.472708860e-01,4.031702345e-02,9.996711264e-01,9.975616716e-01
2.322281096e+00,1.515739091e-01,4.149659943e-02,9.996515942e-01,9.974152621e-01
2.390265347e+00,1.560021164e-01,4.271064434e-02,9.996309024e-01,9.972599667e-01
2.460239821e+00,1.605590960e-01,4.396016157e-02,9.996089820e-01,9.970952346e-01
2.532262782e+00,1.652485333e-01,4.524618337e-02,9.995857603e-01,9.969204799e-01
2.606394198e+00,1.700742133e-01,4.656977165e-02,9.995611599e-01,9.967350788e-01
2.682695795e+00,1.750400219e-01,4.793201879e-02,9.995350992e-01,9.965383670e-01
2.761231104e+00,1.801499485e-01,4.933404850e-02,9.995074915e-01,9.963296368e-01
2.842065516e+00,1.854080875e-01,5.077701664e-02,9.994782450e-01,9.961081346e-01
2.925266337e+00,1.908186402e-01,5.226211212e-02,9.994472626e-01,9.958730571e-01
3.010902844e+00,1.963859165e-01,5.379055782e-02,9.994144412e-01,9.956235479e-01
3.099046339e+00,2.021143364e-01,5.536361144e-02,9.993796719e-01,9.953586941e-01
