t_s,v_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
2.7000000e-01,2.0000000e+00,1.8951684e+00,7.2628097e-02,2.0000000e+01,1.5000000e-01,1.8951684e+00,7.2628097e-02,2.0000000e+01,1.5000000e-01,1.4141549e+00,-4.3384656e-02,1.5028629e+00,4.1194960e-01
2.7500000e-01,2.0000000e+00,1.9392147e+00,7.3059222e-02,1.9968258e+01,1.5000000e-01,1.9392147e+00,7.3059222e-02,1.9968258e+01,1.5000000e-01,1.4169110e+00,-4.0777155e-02,1.2901127e+00,4.1950868e-01
2.8000000e-01,2.0000000e+00,1.9831487e+00,7.1736592e-02,1.9498517e+01,1.5000000e-01,1.9831487e+00,7.1736592e-02,1.9498517e+01,1.5000000e-01,1.4190529e+00,-3.5853441e-02,1.0338756e+00,4.3037832e-01
2.8500000e-01,2.0000000e+00,2.0263363e+00,6.2672370e-02,1.8808154e+01,1.5000000e-01,2.0263363e+00,6.2672370e-02,1.8808154e+01,1.5000000e-01,1.4206519e+00,-3.2399943e-02,8.7717471e-01,4.3712725e-01
2.9000000e-01,2.0000000e+00,2.0677846e+00,4.4824622e-02,1.7309347e+01,1.5000000e-01,2.0677846e+00,4.4824622e-02,1.7309347e+01,1.5000000e-01,1.4217939e+00,-2.7671334e-02,6.6111606e-01,4.4631178e-01
2.9500000e-01,2.0000000e+00,2.1065284e+00,1.8609668e-02,1.6096868e+01,1.5000000e-01,2.1065284e+00,1.8609668e-02,1.6096868e+01,1.5000000e-01,1.4225474e+00,-2.4269246e-02,5.5105039e-01,4.5173346e-01
3.0000000e-01,2.0000000e+00,2.1419704e+00,-1.1621730e-02,1.4100581e+01,1.5056217e-01,2.1419704e+00,-1.1621730e-02,1.4100581e+01,1.5035683e-01,1.4229814e+00,-2.0041542e-02,4.3132109e-01,4.5883313e-01
3.0500000e-01,2.0000000e+00,2.1736613e+00,-4.0200482e-02,1.2715336e+01,1.6387538e-01,2.1736613e+00,-4.2220052e-02,1.2715336e+01,1.5964488e-01,1.4231433e+00,-1.7251951e-02,3.5760745e-01,4.6294962e-01
3.1000000e-01,2.0000000e+00,2.2014811e+00,-5.3652010e-02,1.0636570e+01,1.8990709e-01,2.2014811e+00,-5.5285051e-02,1.0636570e+01,1.9011337e-01,1.4230871e+00,-1.4000912e-02,2.5464222e-01,4.6827348e-01
3.1500000e-01,2.0000000e+00,2.2253339e+00,-5.9347196e-02,9.2836564e+00,2.2174937e-01,2.2253339e+00,-6.3258344e-02,9.2836564e+00,2.1591363e-01,1.4228586e+00,-1.1640707e-02,2.0995110e-01,4.7126897e-01
3.2000000e-01,2.0000000e+00,2.2453623e+00,-5.9533213e-02,7.3436105e+00,2.5544157e-01,2.2453623e+00,-6.0456162e-02,7.3436105e+00,2.5686274e-01,1.4224989e+00,-8.9614473e-03,1.7443660e-01,4.7501923e-01
3.2500000e-01,2.0000000e+00,2.2616594e+00,-5.8591285e-02,6.1252891e+00,2.8903028e-01,2.2616594e+00,-6.1683892e-02,6.1252891e+00,2.8403412e-01,1.4220361e+00,-7.1824098e-03,1.5097313e-01,4.7710535e-01
3.3000000e-01,2.0000000e+00,2.2744903e+00,-5.5407565e-02,4.4270393e+00,3.2150138e-01,2.2744903e+00,-5.5688661e-02,4.4270393e+00,3.2329072e-01,1.4215008e+00,-5.2821941e-03,1.1527857e-01,4.7968786e-01
3.3500000e-01,2.0000000e+00,2.2840395e+00,-5.2455092e-02,3.3864074e+00,3.5228159e-01,2.2840395e+00,-5.4918532e-02,3.3864074e+00,3.4806862e-01,1.4209209e+00,-3.8270065e-03,1.0797758e-01,4.8105554e-01
3.4000000e-01,2.0000000e+00,2.2906151e+00,-4.8214271e-02,1.9665473e+00,3.8103452e-01,2.2906151e+00,-4.8264628e-02,1.9665473e+00,3.8275371e-01,1.4203180e+00,-2.3037294e-03,1.1846877e-01,4.8264456e-01
3.4500000e-01,2.0000000e+00,2.2944375e+00,-4.4551872e-02,1.1138881e+00,4.0757032e-01,2.2944375e+00,-4.6539730e-02,1.1138881e+00,4.0409218e-01,1.4197064e+00,-1.2836371e-03,1.2189071e-01,4.8346022e-01
3.5000000e-01,2.0000000e+00,2.2958154e+00,-4.0101025e-02,-2.7356071e-02,4.3179960e-01,2.2958154e+00,-4.0052933e-02,-2.7356071e-02,4.3331495e-01,1.4191007e+00,-3.1597755e-04,1.2148140e-01,4.8437124e-01
3.5500000e-01,2.0000000e+00,2.2949737e+00,-3.6317134e-02,-6.9938916e-01,4.5370395e-01,2.2949737e+00,-3.7881545e-02,-6.9938916e-01,4.5092824e-01,1.4185165e+00,4.9570153e-04,1.3252470e-01,4.8477219e-01
3.6000000e-01,2.0000000e+00,2.2921994e+00,-3.2070865e-02,-1.5808552e+00,4.7331637e-01,2.2921994e+00,-3.1972459e-02,-1.5808552e+00,4.7458846e-01,1.4179628e+00,1.2510681e-03,1.6366980e-01,4.8511171e-01
3.6500000e-01,2.0000000e+00,2.2877057e+00,-2.8470952e-02,-2.0885197e+00,4.9070605e-01,2.2877057e+00,-2.9657398e-02,-2.0885197e+00,4.8857441e-01,1.4174447e+00,1.7541275e-03,1.7880530e-01,4.8521295e-01
3.7000000e-01,2.0000000e+00,2.2817471e+00,-2.4632909e-02,-2.7381740e+00,5.0596786e-01,2.2817471e+00,-2.4509838e-02,-2.7381740e+00,5.0699391e-01,1.4169673e+00,2.1303630e-03,1.9334462e-01,4.8521192e-01
3.7500000e-01,2.0000000e+00,2.2745168e+00,-2.1369736e-02,-3.1016333e+00,5.1921357e-01,2.2745168e+00,-2.2227324e-02,-3.1016333e+00,5.1765123e-01,1.4165381e+00,2.5183058e-03,2.1095700e-01,4.8510443e-01
3.8000000e-01,2.0000000e+00,2.2662332e+00,-1.8025743e-02,-3.5508760e+00,5.3056600e-01,2.2662332e+00,-1.7893359e-02,-3.5508760e+00,5.3136133e-01,1.4161590e+00,2.8039650e-03,2.4754297e-01,4.8481388e-01
3.8500000e-01,2.0000000e+00,2.2570660e+00,-1.5164736e-02,-3.7913407e+00,5.4015389e-01,2.2570660e+00,-1.5742856e-02,-3.7913407e+00,5.3908069e-01,1.4158297e+00,2.9833006e-03,2.6549973e-01,4.8457124e-01
3.9000000e-01,2.0000000e+00,2.2471971e+00,-1.2333920e-02,-4.0717699e+00,5.4810866e-01,2.2471971e+00,-1.2201522e-02,-4.0717699e+00,5.4869734e-01,1.4155499e+00,3.0204223e-03,2.8334994e-01,4.8415448e-01
3.9500000e-01,2.0000000e+00,2.2367721e+00,-9.8903666e-03,-4.2098870e+00,5.5456143e-01,2.2367721e+00,-1.0236081e-02,-4.2098870e+00,5.5389846e-01,1.4153226e+00,3.1535320e-03,3.0104662e-01,4.8383181e-01
4.0000000e-01,2.0000000e+00,2.2259387e+00,-7.5547081e-03,-4.3515021e+00,5.5964131e-01,2.2259387e+00,-7.4278833e-03,-4.3515021e+00,5.6005085e-01,1.4151462e+00,3.1822013e-03,3.3505714e-01,4.8329887e-01
4.0500000e-01,2.0000000e+00,2.2148188e+00,-5.5154857e-03,-4.4064804e+00,5.6347368e-01,2.2148188e+00,-5.6721140e-03,-4.4064804e+00,5.6314689e-01,1.4150176e+00,3.1801213e-03,3.5129820e-01,4.8293885e-01
4.1000000e-01,2.0000000e+00,2.2035293e+00,-3.6371372e-03,-4.4367366e+00,5.6617934e-01,2.2035293e+00,-3.5191520e-03,-4.4367366e+00,5.6643765e-01,1.4149341e+00,3.0505038e-03,3.6672163e-01,4.8240224e-01
4.1500000e-01,2.0000000e+00,2.1921700e+00,-1.9735832e-03,-4.4259082e+00,5.6787360e-01,2.1921700e+00,-1.9800133e-03,-4.4259082e+00,5.6781571e-01,1.4148965e+00,3.0479412e-03,3.8151964e-01,4.8203434e-01
4.2000000e-01,2.0000000e+00,2.1808303e+00,-5.0512328e-04,-4.3692792e+00,5.6866590e-01,2.1808303e+00,-3.9775363e-04,-4.3692792e+00,5.6879960e-01,1.4149016e+00,2.9590141e-03,4.0958618e-01,4.8147699e-01
4.2500000e-01,2.0000000e+00,2.1695903e+00,8.1924836e-04,-4.3079244e+00,5.6865941e-01,2.1695903e+00,9.2879801e-04,-4.3079244e+00,5.6881072e-01,1.4149455e+00,2.8712808e-03,4.2232331e-01,4.8112277e-01
4.3000000e-01,2.0000000e+00,2.1585156e+00,1.9287026e-03,-4.1857713e+00,5.6795095e-01,2.1585156e+00,2.0246574e-03,-4.1857713e+00,5.6798447e-01,1.4150249e+00,2.6822518e-03,4.3322076e-01,4.8062146e-01
4.3500000e-01,2.0000000e+00,2.1476686e+00,2.9535192e-03,-4.0871005e+00,5.6663083e-01,2.1476686e+00,3.1494635e-03,-4.0871005e+00,5.6693938e-01,1.4151396e+00,2.6207655e-03,4.4423685e-01,4.8029367e-01
4.4000000e-01,2.0000000e+00,2.1370949e+00,3.7546628e-03,-3.9177255e+00,5.6478300e-01,2.1370949e+00,3.8390538e-03,-3.9177255e+00,5.6473817e-01,1.4152862e+00,2.4970168e-03,4.6569523e-01,4.7981591e-01
4.4500000e-01,2.0000000e+00,2.1268414e+00,4.5198333e-03,-3.7929571e+00,5.6248507e-01,2.1268414e+00,4.7770151e-03,-3.7929571e+00,5.6290648e-01,1.4154609e+00,2.3821028e-03,4.7469578e-01,4.7952289e-01
