label,I_tot0_A,r0,dV0_V,Td_s,taur_s,tauf_s,K_v,pole_factor,tau_v_s,Td_v_s,dec_sigma_So,mimo_sigma_So,dec_S11,mimo_S11,dec_S22,mimo_S22,dec_T_alpha_vref,mimo_T_alpha_vref
in-envelope,2.0,0.7,0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.365383,1.240900,1.295082,1.213761,1.310091,1.114857,5.16043545e-01,2.19483711e-01
in-envelope,2.0,0.7,0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,2.022685,1.504219,1.295082,1.213025,1.863121,1.462668,7.74954222e-01,2.91379501e-01
in-envelope,2.0,0.7,0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.551027,1.303689,1.295082,1.212523,1.490743,1.277724,5.21976187e-01,2.28183819e-01
in-envelope,2.0,0.7,-0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.462283,1.805315,1.576853,1.369952,2.406213,1.673101,5.29475032e-01,6.64391590e-01
in-envelope,2.0,0.7,-0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.606305,1.474333,1.576853,1.367171,1.310091,1.115348,3.95082484e-01,5.12576046e-01
in-envelope,2.0,0.7,-0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.924216,1.604983,1.576853,1.368154,1.863121,1.462492,5.05699997e-01,6.37616963e-01
in-envelope,2.0,0.7,-0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.585631,1.461581,1.576853,1.368792,1.490743,1.278085,3.51061524e-01,5.24372245e-01
in-envelope,2.0,0.7,0.0,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.407188,1.698284,1.425780,1.289187,2.406213,1.673024,0.00000000e+00,2.75434883e-01
in-envelope,2.0,0.7,0.0,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.425863,1.306273,1.425780,1.289160,1.310091,1.115103,0.00000000e+00,1.91265406e-01
in-envelope,2.0,0.7,0.0,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.863615,1.488087,1.425780,1.289126,1.863121,1.462145,0.00000000e+00,2.49465462e-01
in-envelope,2.0,0.7,0.0,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.490958,1.307438,1.425780,1.289164,1.490743,1.277785,0.00000000e+00,2.09516539e-01
in-envelope,2.0,0.7,0.4,0.0005,2e-05,0.0,2.0,0.5,0.005,0.004,2.536890,1.705768,1.073381,1.101385,2.406213,1.674278,7.94414152e-01,2.92579061e-01
in-envelope,2.0,0.7,0.4,0.0005,2e-05,0.0,0.5,2.0,0.0005,0.001,1.326483,1.136316,1.073381,1.103187,1.310091,1.114884,4.51476612e-01,2.02954652e-01
in-envelope,2.0,0.7,0.4,0.0005,2e-05,0.0,2.0,2.0,0.0005,0.004,1.999263,1.497743,1.073381,1.102480,1.863121,1.462749,7.08720898e-01,2.73414856e-01
in-envelope,2.0,0.7,0.4,0.0005,2e-05,0.0,1.0,1.0,0.005,0.001,1.546746,1.300904,1.073381,1.102116,1.490743,1.277776,4.77361619e-01,2.16974803e-01
in-envelope,2.0,0.7,-0.4,0.0005,2e-05,0.0008,2.0,0.5,0.005,0.004,2.459314,1.795012,1.226678,1.216182,2.406213,1.672978,5.12432304e-01,6.34093552e-01
in-envelope,2.0,0.7,-0.4,0.0005,2e-05,0.0008,0.5,2.0,0.0005,0.001,1.315748,1.320586,1.226678,1.213955,1.310091,1.115328,3.40045655e-01,4.69894557e-01
in-envelope,2.0,0.7,-0.4,0.0005,2e-05,0.0008,2.0,2.0,0.0005,0.004,1.919849,1.592070,1.226678,1.214904,1.863121,1.462389,4.78588140e-01,6.02375111e-01
in-envelope,2.0,0.7,-0.4,0.0005,2e-05,0.0008,1.0,1.0,0.005,0.001,1.510504,1.361459,1.226678,1.215284,1.490743,1.278036,3.25427413e-01,4.90397720e-01
in-envelope,2.0,0.7,0.0,0.0005,0.0003,0.0,2.0,0.5,0.005,0.004,2.407188,1.695730,1.128365,1.146239,2.406213,1.673071,0.00000000e+00,2.60190456e-01
in-envelope,2.0,0.7,0.0,0.0005,0.0003,0.0,0.5,2.0,0.0005,0.001,1.310222,1.165013,1.128365,1.146224,1.310091,1.115102,0.00000000e+00,1.75889055e-01
in-envelope,2.0,0.7,0.0,0.0005,0.0003,0.0,2.0,2.0,0.0005,0.004,1.863615,1.484801,1.128365,1.146205,1.863121,1.462190,0.00000000e+00,2.33274743e-01
in-envelope,2.0,0.7,0.0,0.0005,0.0003,0.0,1.0,1.0,0.005,0.001,1.490958,1.292939,1.128365,1.146227,1.490743,1.277790,0.00000000e+00,1.95685136e-01
in-envelope,5.0,0.3,0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.409030,1.688661,1.483466,1.320962,2.406213,1.673207,9.59530929e-02,2.19280731e-01
