t_s,v_ref,v,i_cmd,regen_v_ref,regen_v,regen_i_cmd
0.6780,2.000000,1.578332,12.000000,0.000000,0.374872,-12.000000
0.6800,2.000000,1.583019,12.000000,0.000000,0.370201,-11.993646
0.6820,2.000000,1.587702,12.000000,0.000000,0.365530,-12.000000
0.6840,2.000000,1.592384,12.000000,0.000000,0.360861,-12.000000
0.6860,2.000000,1.597065,12.000000,0.000000,0.356194,-12.000000
0.6880,2.000000,1.601746,12.000000,0.000000,0.351529,-12.000000
0.6900,2.000000,1.606426,12.000000,0.000000,0.346864,-12.000000
0.6920,2.000000,1.611103,11.995547,0.000000,0.342200,-11.994979
0.6940,2.000000,1.615780,12.000000,0.000000,0.337538,-12.000000
0.6960,2.000000,1.620455,12.000000,0.000000,0.332877,-12.000000
0.6980,2.000000,1.625128,12.000000,0.000000,0.328218,-12.000000
0.7000,2.000000,1.629799,11.993646,0.000000,0.323561,-11.997846
0.7020,2.000000,1.634470,12.000000,0.000000,0.318905,-12.000000
0.7040,2.000000,1.639139,12.000000,0.000000,0.314250,-11.995532
0.7060,2.000000,1.643806,12.000000,0.000000,0.309597,-12.000000
0.7080,2.000000,1.648471,12.000000,0.000000,0.304945,-12.000000
0.7100,2.000000,1.653136,12.000000,0.000000,0.300295,-12.000000
0.7120,2.000000,1.657800,11.994979,0.000000,0.295646,-11.999240
0.7140,2.000000,1.662462,12.000000,0.000000,0.290998,-12.000000
0.7160,2.000000,1.667123,12.000000,0.000000,0.286352,-11.990269
0.7180,2.000000,1.671782,12.000000,0.000000,0.281707,-12.000000
0.7200,2.000000,1.676439,11.997846,0.000000,0.277063,-12.000000
0.7220,2.000000,1.681095,12.000000,0.000000,0.272422,-12.000000
0.7240,2.000000,1.685750,11.995532,0.000000,0.267783,-12.000000
0.7260,2.000000,1.690403,12.000000,0.000000,0.263144,-12.000000
0.7280,2.000000,1.695055,12.000000,0.000000,0.258506,-12.000000
0.7300,2.000000,1.699705,12.000000,0.000000,0.253870,-12.000000
0.7320,2.000000,1.704354,11.999240,0.000000,0.249234,-12.000000
0.7340,2.000000,1.709002,12.000000,0.000000,0.244600,-12.000000
0.7360,2.000000,1.713648,11.990269,0.000000,0.239968,-11.986583
0.7380,2.000000,1.718293,12.000000,0.000000,0.235337,-12.000000
0.7400,2.000000,1.722937,12.000000,0.000000,0.230707,-12.000000
0.7420,2.000000,1.727578,12.000000,0.000000,0.226080,-12.000000
0.7440,2.000000,1.732217,12.000000,0.000000,0.221457,-12.000000
0.7460,2.000000,1.736856,12.000000,0.000000,0.216832,-12.000000
0.7480,2.000000,1.741494,12.000000,0.000000,0.212208,-12.000000
0.7500,2.000000,1.746130,12.000000,0.000000,0.207586,-12.000000
0.7520,2.000000,1.750766,12.000000,0.000000,0.202965,-12.000000
0.7540,2.000000,1.755400,12.000000,0.000000,0.198345,-12.000000
0.7560,2.000000,1.760032,11.986583,0.000000,0.193726,-12.000000
0.7580,2.000000,1.764663,12.000000,0.000000,0.189109,-12.000000
0.7600,2.000000,1.769293,12.000000,0.000000,0.184494,-11.991653
0.7620,2.000000,1.773920,12.000000,0.000000,0.179880,-12.000000
0.7640,2.000000,1.778543,12.000000,0.000000,0.175267,-12.000000
0.7660,2.000000,1.783168,12.000000,0.000000,0.170657,-12.000000
0.7680,2.000000,1.787792,12.000000,0.000000,0.166049,-12.000000
