t_s,v_ref,alpha_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
1.1600000e-01,-2.0000000e+00,0.0000000e+00,-9.7294034e-01,3.7125432e-04,-2.0000000e+01,2.9329370e-01,-9.7294034e-01,3.7124023e-04,-2.0000000e+01,2.9328063e-01,-9.9703503e-01,4.3473473e-02,-1.9999932e+01,3.3724050e-01
1.1800000e-01,-2.0000000e+00,0.0000000e+00,-9.9078693e-01,3.7116382e-04,-2.0000000e+01,2.9320964e-01,-9.9078693e-01,3.7114974e-04,-2.0000000e+01,2.9319658e-01,-1.0148757e+00,4.4198428e-02,-1.9492634e+01,3.3789948e-01
1.2000000e-01,-2.0000000e+00,0.0000000e+00,-1.0086292e+00,3.7107335e-04,-2.0000000e+01,2.9312561e-01,-1.0086292e+00,3.7105927e-04,-2.0000000e+01,2.9311255e-01,-1.0327168e+00,4.4891826e-02,-1.8902558e+01,3.3837194e-01
1.2200000e-01,-2.0000000e+00,0.0000000e+00,-1.0264670e+00,3.7098290e-04,-2.0000000e+01,2.9304159e-01,-1.0264670e+00,3.7096883e-04,-2.0000000e+01,2.9302854e-01,-1.0502886e+00,4.2188121e-02,-1.8387940e+01,3.3899876e-01
1.2400000e-01,-2.0000000e+00,0.0000000e+00,-1.0443006e+00,3.7089247e-04,-2.0000000e+01,2.9295760e-01,-1.0443006e+00,3.7087841e-04,-2.0000000e+01,2.9294455e-01,-1.0673810e+00,3.7512635e-02,-1.7795760e+01,3.3965520e-01
1.2600000e-01,-2.0000000e+00,0.0000000e+00,-1.0621298e+00,3.7080206e-04,-2.0000000e+01,2.9287363e-01,-1.0621298e+00,3.7078801e-04,-2.0000000e+01,2.9286058e-01,-1.0839839e+00,3.2856575e-02,-1.7280186e+01,3.4072990e-01
1.2800000e-01,-2.0000000e+00,0.0000000e+00,-1.0799546e+00,3.7071168e-04,-2.0000000e+01,2.9278968e-01,-1.0799546e+00,3.7069763e-04,-2.0000000e+01,2.9277663e-01,-1.1000729e+00,2.8120850e-02,-1.6691828e+01,3.4204033e-01
1.3000000e-01,-2.0000000e+00,0.0000000e+00,-1.0977751e+00,3.7062132e-04,-2.0000000e+01,2.9270575e-01,-1.0977751e+00,3.7060727e-04,-2.0000000e+01,2.9269270e-01,-1.1156673e+00,2.3964340e-02,-1.6180522e+01,3.4387896e-01
1.3200000e-01,-2.0000000e+00,0.0000000e+00,-1.1155912e+00,3.7053098e-04,-2.0000000e+01,2.9262184e-01,-1.1155912e+00,3.7051693e-04,-2.0000000e+01,2.9260880e-01,-1.1307491e+00,1.9956981e-02,-1.5600670e+01,3.4599554e-01
1.3400000e-01,-2.0000000e+00,0.0000000e+00,-1.1334030e+00,3.7044066e-04,-2.0000000e+01,2.9253795e-01,-1.1334030e+00,3.7042662e-04,-2.0000000e+01,2.9252491e-01,-1.1453398e+00,1.6621633e-02,-1.5097967e+01,3.4862172e-01
1.3600000e-01,-2.0000000e+00,0.0000000e+00,-1.1512105e+00,3.7035036e-04,-2.0000000e+01,2.9245408e-01,-1.1512105e+00,3.7033633e-04,-2.0000000e+01,2.9244104e-01,-1.1594242e+00,1.3471883e-02,-1.4530521e+01,3.5147747e-01
1.3800000e-01,-2.0000000e+00,0.0000000e+00,-1.1690136e+00,3.7026009e-04,-2.0000000e+01,2.9237023e-01,-1.1690136e+00,3.7024606e-04,-2.0000000e+01,2.9235720e-01,-1.1730251e+00,1.0971606e-02,-1.4040013e+01,3.5476577e-01
1.4000000e-01,-2.0000000e+00,0.0000000e+00,-1.1868124e+00,3.7016984e-04,-2.0000000e+01,2.9228640e-01,-1.1868124e+00,3.7015581e-04,-2.0000000e+01,2.9227337e-01,-1.1861298e+00,8.6179019e-03,-1.3488180e+01,3.5820085e-01
1.4200000e-01,-2.0000000e+00,0.0000000e+00,-1.2046068e+00,3.7007961e-04,-2.0000000e+01,2.9220259e-01,-1.2046068e+00,3.7006558e-04,-2.0000000e+01,2.9218956e-01,-1.1987621e+00,6.8440773e-03,-1.3012808e+01,3.6197470e-01
1.4400000e-01,-2.0000000e+00,0.0000000e+00,-1.2223969e+00,3.6998940e-04,-2.0000000e+01,2.9211880e-01,-1.2223969e+00,3.6997538e-04,-2.0000000e+01,2.9210578e-01,-1.2109112e+00,5.1507112e-03,-1.2479177e+01,3.6580819e-01
1.4600000e-01,-2.0000000e+00,0.0000000e+00,-1.2401827e+00,3.6989921e-04,-2.0000000e+01,2.9203503e-01,-1.2401827e+00,3.6988519e-04,-2.0000000e+01,2.9202201e-01,-1.2226018e+00,3.9555159e-03,-1.2021297e+01,3.6989104e-01
1.4800000e-01,-2.0000000e+00,0.0000000e+00,-1.2579641e+00,3.6980905e-04,-2.0000000e+01,2.9195129e-01,-1.2579641e+00,3.6979503e-04,-2.0000000e+01,2.9193827e-01,-1.2338247e+00,2.7724422e-03,-1.1507910e+01,3.7395628e-01
1.5000000e-01,-2.0000000e+00,0.0000000e+00,-1.2757412e+00,3.6971890e-04,-2.0000000e+01,2.9186756e-01,-1.2757412e+00,3.6970489e-04,-2.0000000e+01,2.9185455e-01,-1.2446053e+00,2.0108704e-03,-1.1069363e+01,3.7819484e-01
1.5200000e-01,-2.0000000e+00,0.0000000e+00,-1.2935140e+00,3.6962878e-04,-2.0000000e+01,2.9178385e-01,-1.2935140e+00,3.6961478e-04,-2.0000000e+01,2.9177084e-01,-1.2549356e+00,1.2021851e-03,-1.0577780e+01,3.8235359e-01
1.5400000e-01,-2.0000000e+00,0.0000000e+00,-1.3112824e+00,3.6953869e-04,-2.0000000e+01,2.9170017e-01,-1.3112824e+00,3.6952468e-04,-2.0000000e+01,2.9168716e-01,-1.2648415e+00,7.5031815e-04,-1.0159951e+01,3.8662542e-01
1.5600000e-01,-2.0000000e+00,0.0000000e+00,-1.3290465e+00,3.6944861e-04,-2.0000000e+01,2.9161650e-01,-1.3290465e+00,3.6943461e-04,-2.0000000e+01,2.9160350e-01,-1.2743162e+00,2.0496691e-04,-9.6913061e+00,3.9077067e-01
1.5800000e-01,-2.0000000e+00,0.0000000e+00,-1.3468063e+00,3.6935856e-04,-2.0000000e+01,2.9153286e-01,-1.3468063e+00,3.6934456e-04,-2.0000000e+01,2.9151986e-01,-1.2833857e+00,-3.4799779e-05,-9.2951837e+00,3.9498365e-01
1.6000000e-01,-2.0000000e+00,0.0000000e+00,-1.3645617e+00,3.6926852e-04,-2.0000000e+01,2.9144923e-01,-1.3645617e+00,3.6925453e-04,-2.0000000e+01,2.9143623e-01,-1.2920441e+00,-4.0166666e-04,-8.8502385e+00,3.9903698e-01
1.6200000e-01,-2.0000000e+00,0.0000000e+00,-1.3823128e+00,3.6917851e-04,-2.0000000e+01,2.9136563e-01,-1.3823128e+00,3.6916452e-04,-2.0000000e+01,2.9135263e-01,-1.3003174e+00,-5.0190454e-04,-8.4764606e+00,4.0312526e-01
1.6400000e-01,-2.0000000e+00,0.0000000e+00,-1.4000596e+00,3.6908852e-04,-2.0000000e+01,2.9128204e-01,-1.4000596e+00,3.6907454e-04,-2.0000000e+01,2.9126905e-01,-1.3082007e+00,-7.5191599e-04,-8.0556533e+00,4.0703199e-01
1.6600000e-01,-2.0000000e+00,0.0000000e+00,-1.4178020e+00,3.6899856e-04,-2.0000000e+01,2.9119848e-01,-1.4178020e+00,3.6898457e-04,-2.0000000e+01,2.9118549e-01,-1.3157196e+00,-7.6415730e-04,-7.7045551e+00,4.1095090e-01
1.6800000e-01,-2.0000000e+00,0.0000000e+00,-1.4355401e+00,3.6890861e-04,-2.0000000e+01,2.9111493e-01,-1.4355401e+00,3.6889463e-04,-2.0000000e+01,2.9110195e-01,-1.3228698e+00,-9.4022323e-04,-7.3080434e+00,4.1467495e-01
1.7000000e-01,-2.0000000e+00,0.0000000e+00,-1.4532739e+00,3.6881869e-04,-2.0000000e+01,2.9103141e-01,-1.4532739e+00,3.6880471e-04,-2.0000000e+01,2.9101843e-01,-1.3296768e+00,-8.9961318e-04,-6.9796992e+00,4.1839602e-01
1.7200000e-01,-2.0000000e+00,0.0000000e+00,-1.4710034e+00,3.6872879e-04,-2.0000000e+01,2.9094791e-01,-1.4710034e+00,3.6871482e-04,-2.0000000e+01,2.9093493e-01,-1.3361368e+00,-1.0304840e-03,-6.6073999e+00,4.2191533e-01
