t_s,v_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
5.2230000e+00,5.0000000e-02,4.9999991e-02,1.2199311e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199543e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3314713e-12,1.3482462e-02,4.9925651e-01
5.2240000e+00,5.0000000e-02,4.9999991e-02,1.2199376e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199304e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3308472e-12,1.3482462e-02,4.9925651e-01
5.2250000e+00,5.0000000e-02,4.9999991e-02,1.2199211e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199441e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3311933e-12,1.3482462e-02,4.9925651e-01
5.2260000e+00,5.0000000e-02,4.9999991e-02,1.2199274e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199204e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3305413e-12,1.3482462e-02,4.9925651e-01
5.2270000e+00,5.0000000e-02,4.9999991e-02,1.2199108e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199342e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3308748e-12,1.3482462e-02,4.9925651e-01
5.2280000e+00,5.0000000e-02,4.9999991e-02,1.2199173e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199101e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3302179e-12,1.3482462e-02,4.9925651e-01
5.2290000e+00,5.0000000e-02,4.9999991e-02,1.2199008e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199238e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3305533e-12,1.3482462e-02,4.9925651e-01
5.2300000e+00,5.0000000e-02,4.9999991e-02,1.2199074e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199000e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3299313e-12,1.3482462e-02,4.9925651e-01
5.2310000e+00,5.0000000e-02,4.9999991e-02,1.2198908e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199138e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3302801e-12,1.3482462e-02,4.9925651e-01
5.2320000e+00,5.0000000e-02,4.9999991e-02,1.2198973e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198899e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3296304e-12,1.3482462e-02,4.9925651e-01
5.2330000e+00,5.0000000e-02,4.9999991e-02,1.2198808e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2199037e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3299698e-12,1.3482462e-02,4.9925651e-01
5.2340000e+00,5.0000000e-02,4.9999991e-02,1.2198872e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198798e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3293498e-12,1.3482462e-02,4.9925651e-01
5.2350000e+00,5.0000000e-02,4.9999991e-02,1.2198706e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198935e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3296979e-12,1.3482462e-02,4.9925651e-01
5.2360000e+00,5.0000000e-02,4.9999991e-02,1.2198770e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198696e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3290469e-12,1.3482462e-02,4.9925651e-01
5.2370000e+00,5.0000000e-02,4.9999991e-02,1.2198604e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198833e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3293853e-12,1.3482462e-02,4.9925651e-01
5.2380000e+00,5.0000000e-02,4.9999991e-02,1.2198667e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198597e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3287332e-12,1.3482462e-02,4.9925651e-01
5.2390000e+00,5.0000000e-02,4.9999991e-02,1.2198501e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198735e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3290741e-12,1.3482462e-02,4.9925651e-01
5.2400000e+00,5.0000000e-02,4.9999991e-02,1.2198568e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198496e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3284554e-12,1.3482462e-02,4.9925651e-01
5.2410000e+00,5.0000000e-02,4.9999991e-02,1.2198402e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198632e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3288057e-12,1.3482462e-02,4.9925651e-01
5.2420000e+00,5.0000000e-02,4.9999991e-02,1.2198466e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198396e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3281563e-12,1.3482462e-02,4.9925651e-01
5.2430000e+00,5.0000000e-02,4.9999991e-02,1.2198303e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198534e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3284957e-12,1.3482462e-02,4.9925651e-01
5.2440000e+00,5.0000000e-02,4.9999991e-02,1.2198367e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198297e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3278446e-12,1.3482462e-02,4.9925651e-01
5.2450000e+00,5.0000000e-02,4.9999991e-02,1.2198204e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198435e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3281879e-12,1.3482462e-02,4.9925651e-01
5.2460000e+00,5.0000000e-02,4.9999991e-02,1.2198268e-10,1.3482465e-02,4.9925651e-01,4.9999991e-02,1.2198195e-10,1.3482465e-02,4.9925651e-01,5.0000001e-02,-1.3275715e-12,1.3482462e-02,4.9925651e-01
