# worst in-envelope corner for the MIMO controller: I_tot0=2.0 r0=0.3 dV0=-0.4 share={'dV0': -0.4, 'Td': 0.002, 'taur': 0.0003, 'tauf': 0.0008} drive={'K_v': 2.0, 'pole_factor': 0.5, 'tau_v': 0.005, 'Td_v': 0.004}
w_rad_s,dec_sigma_So,mimo_sigma_So
5.80132310e+00,8.63147001e-02,1.97793845e-01
5.99176967e+00,9.14392911e-02,2.04817314e-01
6.18846824e+00,9.68658668e-02,2.12123077e-01
6.39162405e+00,1.02606064e-01,2.19725415e-01
6.60144909e+00,1.08672743e-01,2.27639554e-01
6.81816229e+00,1.15079741e-01,2.35881747e-01
7.04198979e+00,1.21841732e-01,2.44469356e-01
7.27316511e+00,1.28974145e-01,2.53420943e-01
7.51192949e+00,1.36493121e-01,2.62756373e-01
7.75853206e+00,1.44415496e-01,2.72496917e-01
8.01323013e+00,1.52758804e-01,2.82665380e-01
8.27628946e+00,1.61541307e-01,2.93286224e-01
8.54798453e+00,1.70782020e-01,3.04385711e-01
8.82859884e+00,1.80500772e-01,3.15992062e-01
9.11842520e+00,1.90718267e-01,3.28135618e-01
9.41776601e+00,2.01456169e-01,3.40849029e-01
9.72693362e+00,2.12737198e-01,3.54167450e-01
1.00462506e+01,2.24585248e-01,3.68128754e-01
1.03760502e+01,2.37025526e-01,3.82773765e-01
1.07166765e+01,2.50084711e-01,3.98146502e-01
1.10684849e+01,2.63791132e-01,4.14294451e-01
1.14318425e+01,2.78174987e-01,4.31268834e-01
1.18071285e+01,2.93268572e-01,4.49124908e-01
1.21947344e+01,3.09106557e-01,4.67922267e-01
1.25950646e+01,3.25726292e-01,4.87725143e-01
1.30085370e+01,3.43168143e-01,5.08602713e-01
1.34355829e+01,3.61475885e-01,5.30629379e-01
1.38766479e+01,3.80697126e-01,5.53885023e-01
1.43321923e+01,4.00883790e-01,5.78455203e-01
1.48026913e+01,4.22092649e-01,6.04431259e-01
1.52886359e+01,4.44385919e-01,6.31910292e-01
1.57905331e+01,4.67831920e-01,6.60994955e-01
1.63089068e+01,4.92505800e-01,6.91792981e-01
1.68442976e+01,5.18490343e-01,7.24416351e-01
1.73972643e+01,5.45876855e-01,7.58979970e-01
1.79683839e+01,5.74766124e-01,7.95599702e-01
1.85582523e+01,6.05269481e-01,8.34389547e-01
1.91674849e+01,6.37509925e-01,8.75457714e-01
1.97967175e+01,6.71623333e-01,9.18901312e-01
2.04466067e+01,7.07759717e-01,9.64799290e-01
2.11178304e+01,7.46084500e-01,1.01320330e+00
2.18110892e+01,7.86779768e-01,1.06412612e+00
2.25271064e+01,8.30045385e-01,1.11752734e+00
2.32666291e+01,8.76099871e-01,1.17329631e+00
2.40304289e+01,9.25180818e-01,1.23123257e+00
2.48193029e+01,9.77544569e-01,1.29102462e+00
2.56340741e+01,1.03346473e+00,1.35222873e+00
2.64755927e+01,1.09322888e+00,1.41425055e+00
2.73447368e+01,1.15713270e+00,1.47633340e+00
2.82424133e+01,1.22547021e+00,1.53755831e+00
