w,K11_mag,K12_mag,K21_mag,K22_mag,K11_ph,K22_ph
2.606394198e+00,3.066315535e+00,4.923621652e-01,6.156533773e-04,8.455025657e-01,-9.050434266e+01,-6.019512307e+00
2.682695795e+00,2.979093221e+00,4.920757550e-01,6.155448879e-04,8.453472612e-01,-9.051910667e+01,-6.040944609e+00
2.761231104e+00,2.894351410e+00,4.917984221e-01,6.154346625e-04,8.451887595e-01,-9.053430286e+01,-6.067357732e+00
2.842065516e+00,2.812019543e+00,4.915292631e-01,6.153223395e-04,8.450265407e-01,-9.054994385e+01,-6.098771312e+00
2.925266337e+00,2.732029068e+00,4.912674003e-01,6.152075506e-04,8.448600731e-01,-9.056604268e+01,-6.135208765e+00
3.010902844e+00,2.654313380e+00,4.910119796e-01,6.150899201e-04,8.446888119e-01,-9.058261274e+01,-6.176697291e+00
3.099046339e+00,2.578807772e+00,4.907621676e-01,6.149690635e-04,8.445121975e-01,-9.059966782e+01,-6.223267872e+00
3.189770215e+00,2.505449374e+00,4.905171491e-01,6.148445866e-04,8.443296536e-01,-9.061722211e+01,-6.274955271e+00
3.283150013e+00,2.434177106e+00,4.902761244e-01,6.147160837e-04,8.441405857e-01,-9.063529022e+01,-6.331798034e+00
3.379263482e+00,2.364931622e+00,4.900383074e-01,6.145831370e-04,8.439443789e-01,-9.065388719e+01,-6.393838491e+00
3.478190651e+00,2.297655268e+00,4.898029225e-01,6.144453151e-04,8.437403965e-01,-9.067302848e+01,-6.461122748e+00
3.580013891e+00,2.232292026e+00,4.895692029e-01,6.143021714e-04,8.435279777e-01,-9.069273003e+01,-6.533700696e+00
3.684817983e+00,2.168787473e+00,4.893363878e-01,6.141532436e-04,8.433064360e-01,-9.071300823e+01,-6.611625998e+00
3.792690191e+00,2.107088731e+00,4.891037202e-01,6.139980512e-04,8.430750569e-01,-9.073387994e+01,-6.694956092e+00
3.903720333e+00,2.047144428e+00,4.888704448e-01,6.138360953e-04,8.428330959e-01,-9.075536254e+01,-6.783752183e+00
4.018000857e+00,1.988904653e+00,4.886358054e-01,6.136668561e-04,8.425797765e-01,-9.077747388e+01,-6.878079237e+00
4.135626918e+00,1.932320912e+00,4.883990432e-01,6.134897921e-04,8.423142877e-01,-9.080023237e+01,-6.978005968e+00
4.256696455e+00,1.877346092e+00,4.881593939e-01,6.133043386e-04,8.420357822e-01,-9.082365694e+01,-7.083604828e+00
