t_s,v_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
3.5000000e-01,2.0000000e+00,2.2958154e+00,4.0101025e-02,-2.7356071e-02,5.6820040e-01,2.2958154e+00,4.0052933e-02,-2.7356071e-02,5.6668505e-01,1.4187950e+00,1.0757007e-03,1.1278959e-01,5.1652722e-01
3.5500000e-01,2.0000000e+00,2.2949737e+00,3.6317134e-02,-6.9938916e-01,5.4629605e-01,2.2949737e+00,3.7881545e-02,-6.9938916e-01,5.4907176e-01,1.4181897e+00,7.5688492e-04,1.2551635e-01,5.1655939e-01
3.6000000e-01,2.0000000e+00,2.2921994e+00,3.2070865e-02,-1.5808552e+00,5.2668363e-01,2.2921994e+00,3.1972459e-02,-1.5808552e+00,5.2541154e-01,1.4176199e+00,5.1183942e-04,1.5889367e-01,5.1672102e-01
3.6500000e-01,2.0000000e+00,2.2877057e+00,2.8470952e-02,-2.0885197e+00,5.0929395e-01,2.2877057e+00,2.9657398e-02,-2.0885197e+00,5.1142559e-01,1.4170901e+00,3.5361736e-04,1.7532542e-01,5.1691361e-01
3.7000000e-01,2.0000000e+00,2.2817471e+00,2.4632909e-02,-2.7381740e+00,4.9403214e-01,2.2817471e+00,2.4509838e-02,-2.7381740e+00,4.9300609e-01,1.4166046e+00,2.7771544e-04,1.9153977e-01,5.1730311e-01
3.7500000e-01,2.0000000e+00,2.2745168e+00,2.1369736e-02,-3.1016333e+00,4.8078643e-01,2.2745168e+00,2.2227324e-02,-3.1016333e+00,4.8234877e-01,1.4161706e+00,9.6042989e-05,2.1010474e-01,5.1759333e-01
3.8000000e-01,2.0000000e+00,2.2662332e+00,1.8025743e-02,-3.5508760e+00,4.6943400e-01,2.2662332e+00,1.7893359e-02,-3.5508760e+00,4.6863867e-01,1.4157895e+00,1.9923111e-05,2.4789288e-01,5.1805777e-01
3.8500000e-01,2.0000000e+00,2.2570660e+00,1.5164736e-02,-3.7913407e+00,4.5984611e-01,2.2570660e+00,1.5742856e-02,-3.7913407e+00,4.6091931e-01,1.4154606e+00,-3.7708223e-05,2.6650878e-01,5.1839990e-01
3.9000000e-01,2.0000000e+00,2.2471971e+00,1.2333920e-02,-4.0717699e+00,4.5189134e-01,2.2471971e+00,1.2201522e-02,-4.0717699e+00,4.5130266e-01,1.4151831e+00,2.9017693e-07,2.8515620e-01,5.1894655e-01
3.9500000e-01,2.0000000e+00,2.2367721e+00,9.8903666e-03,-4.2098870e+00,4.4543857e-01,2.2367721e+00,1.0236081e-02,-4.2098870e+00,4.4610154e-01,1.4149597e+00,-9.2966475e-05,3.0327160e-01,5.1930565e-01
4.0000000e-01,2.0000000e+00,2.2259387e+00,7.5547081e-03,-4.3515021e+00,4.4035869e-01,2.2259387e+00,7.4278833e-03,-4.3515021e+00,4.3994915e-01,1.4147884e+00,-8.3213665e-05,3.3776057e-01,5.1982847e-01
4.0500000e-01,2.0000000e+00,2.2148188e+00,5.5154857e-03,-4.4064804e+00,4.3652632e-01,2.2148188e+00,5.6721140e-03,-4.4064804e+00,4.3685311e-01,1.4146658e+00,-8.1579016e-05,3.5423010e-01,5.2018153e-01
4.1000000e-01,2.0000000e+00,2.2035293e+00,3.6371372e-03,-4.4367366e+00,4.3382066e-01,2.2035293e+00,3.5191520e-03,-4.4367366e+00,4.3356235e-01,1.4145891e+00,5.1323614e-06,3.6987962e-01,5.2071008e-01
4.1500000e-01,2.0000000e+00,2.1921700e+00,1.9735832e-03,-4.4259082e+00,4.3212640e-01,2.1921700e+00,1.9800133e-03,-4.4259082e+00,4.3218429e-01,1.4145588e+00,-3.6152353e-05,3.8476222e-01,5.2104056e-01
4.2000000e-01,2.0000000e+00,2.1808303e+00,5.0512328e-04,-4.3692792e+00,4.3133410e-01,2.1808303e+00,3.9775363e-04,-4.3692792e+00,4.3120040e-01,1.4145714e+00,7.7768763e-06,4.1287184e-01,5.2150114e-01
4.2500000e-01,2.0000000e+00,2.1695903e+00,-8.1924836e-04,-4.3079244e+00,4.3134059e-01,2.1695903e+00,-9.2879801e-04,-4.3079244e+00,4.3118928e-01,1.4146229e+00,3.9448590e-05,4.2558946e-01,5.2180030e-01
4.3000000e-01,2.0000000e+00,2.1585156e+00,-1.9287026e-03,-4.1857713e+00,4.3204905e-01,2.1585156e+00,-2.0246574e-03,-4.1857713e+00,4.3201553e-01,1.4147099e+00,1.3665146e-04,4.3639924e-01,5.2223395e-01
4.3500000e-01,2.0000000e+00,2.1476686e+00,-2.9535192e-03,-4.0871005e+00,4.3336917e-01,2.1476686e+00,-3.1494635e-03,-4.0871005e+00,4.3306062e-01,1.4148320e+00,1.2252652e-04,4.4732560e-01,5.2249632e-01
4.4000000e-01,2.0000000e+00,2.1370949e+00,-3.7546628e-03,-3.9177255e+00,4.3521700e-01,2.1370949e+00,-3.8390538e-03,-3.9177255e+00,4.3526183e-01,1.4149858e+00,1.7180441e-04,4.6861286e-01,5.2285050e-01
4.4500000e-01,2.0000000e+00,2.1268414e+00,-4.5198333e-03,-3.7929571e+00,4.3751493e-01,2.1268414e+00,-4.7770151e-03,-3.7929571e+00,4.3709352e-01,1.4151673e+00,2.1475038e-04,4.7748043e-01,5.2307534e-01
4.5000000e-01,2.0000000e+00,2.1169371e+00,-5.0610183e-03,-3.5917667e+00,4.4019147e-01,2.1169371e+00,-5.1341314e-03,-3.5917667e+00,4.4029556e-01,1.4153735e+00,3.0294541e-04,4.8353313e-01,5.2339495e-01
4.5500000e-01,2.0000000e+00,2.1074157e+00,-5.6049921e-03,-3.4502597e+00,4.4318111e-01,2.1074157e+00,-5.9023742e-03,-3.4502597e+00,4.4268415e-01,1.4156039e+00,3.0055914e-04,4.9083733e-01,5.2358269e-01
4.6000000e-01,2.0000000e+00,2.0982925e+00,-5.9309965e-03,-3.2299906e+00,4.4642403e-01,2.0982925e+00,-5.9934057e-03,-3.2299906e+00,4.4657102e-01,1.4158556e+00,3.4153777e-04,5.0614620e-01,5.2382844e-01
4.6500000e-01,2.0000000e+00,2.0895902e+00,-6.2897264e-03,-3.0794085e+00,4.4986592e-01,2.0895902e+00,-6.6100274e-03,-3.0794085e+00,4.4932419e-01,1.4161252e+00,3.8495578e-04,5.1176678e-01,5.2398218e-01
4.7000000e-01,2.0000000e+00,2.0813130e+00,-6.4411098e-03,-2.8503854e+00,4.5345765e-01,2.0813130e+00,-6.4935730e-03,-2.8503854e+00,4.5363372e-01,1.4164102e+00,4.5647047e-04,5.1399214e-01,5.2419802e-01
4.7500000e-01,2.0000000e+00,2.0734747e+00,-6.6474696e-03,-2.6968735e+00,4.5715504e-01,2.0734747e+00,-6.9767732e-03,-2.6968735e+00,4.5659345e-01,1.4167105e+00,4.5720567e-04,5.1843283e-01,5.2432071e-01
4.8000000e-01,2.0000000e+00,2.0660708e+00,-6.6603066e-03,-2.4672802e+00,4.6091854e-01,2.0660708e+00,-6.7036905e-03,-2.4672802e+00,4.6111227e-01,1.4170238e+00,4.8538151e-04,5.2906294e-01,5.2447546e-01
4.8500000e-01,2.0000000e+00,2.0591077e+00,-6.7438101e-03,-2.3156468e+00,4.6471301e-01,2.0591077e+00,-7.0711681e-03,-2.3156468e+00,4.6415126e-01,1.4173474e+00,5.2394816e-04,5.3225676e-01,5.2457148e-01
4.9000000e-01,2.0000000e+00,2.0525745e+00,-6.6496716e-03,-2.0917955e+00,4.6850739e-01,2.0525745e+00,-6.6848959e-03,-2.0917955e+00,4.6870948e-01,1.4176797e+00,5.7781251e-04,5.3180152e-01,5.2470550e-01
4.9500000e-01,2.0000000e+00,2.0464718e+00,-6.6363935e-03,-1.9456891e+00,4.7227441e-01,2.0464718e+00,-6.9534385e-03,-1.9456891e+00,4.7172766e-01,1.4180205e+00,5.7754472e-04,5.3420307e-01,5.2477841e-01
5.0000000e-01,2.0000000e+00,2.0407840e+00,-6.4624903e-03,-1.7322804e+00,4.7599038e-01,2.0407840e+00,-6.4904870e-03,-1.7322804e+00,4.7619347e-01,1.4183685e+00,5.9328683e-04,5.4145388e-01,5.2486548e-01
5.0500000e-01,2.0000000e+00,2.0355071e+00,-6.3751252e-03,-1.5943580e+00,4.7963488e-01,2.0355071e+00,-6.6757008e-03,-1.5943580e+00,4.7911439e-01,1.4187215e+00,6.2510405e-04,5.4300202e-01,5.2491956e-01
5.1000000e-01,2.0000000e+00,2.0306223e+00,-6.1445566e-03,-1.3947256e+00,4.8319051e-01,2.0306223e+00,-6.1662397e-03,-1.3947256e+00,4.8338891e-01,1.4190784e+00,6.6359203e-04,5.4090873e-01,5.2499534e-01
5.1500000e-01,2.0000000e+00,2.0261223e+00,-6.0025698e-03,-1.2668101e+00,4.8664266e-01,2.0261223e+00,-6.2823867e-03,-1.2668101e+00,4.8615638e-01,1.4194395e+00,6.6089088e-04,5.4198706e-01,5.2503376e-01
5.2000000e-01,2.0000000e+00,2.0219864e+00,-5.7346373e-03,-1.0831460e+00,4.8997927e-01,2.0219864e+00,-5.7508811e-03,-1.0831460e+00,4.9016871e-01,1.4198039e+00,6.6668675e-04,5.4694949e-01,5.2507524e-01
5.2500000e-01,2.0000000e+00,2.0182048e+00,-5.5544766e-03,-9.6636927e-01,4.9319056e-01,2.0182048e+00,-5.8107965e-03,-9.6636927e-01,4.9274368e-01,1.4201700e+00,6.9176844e-04,5.4748397e-01,5.2510157e-01
5.3000000e-01,2.0000000e+00,2.0147560e+00,-5.2650338e-03,-7.9992865e-01,4.9626890e-01,2.0147560e+00,-5.2766579e-03,-7.9992865e-01,4.9644636e-01,1.4205371e+00,7.1827743e-04,5.4456378e-01,5.2513951e-01
