w,rga11_re,rga11_im,rga11_mag
4.832930239e+02,1.000000000e+00,4.750658270e-17,1.000000000e+00
4.974413171e+02,1.000000000e+00,5.528062285e-18,1.000000000e+00
5.120037985e+02,1.000000000e+00,-2.624991539e-17,1.000000000e+00
5.269925932e+02,1.000000000e+00,-4.883449390e-17,1.000000000e+00
5.424201814e+02,1.000000000e+00,-9.947971278e-17,1.000000000e+00
5.582994087e+02,1.000000000e+00,9.791589270e-18,1.000000000e+00
5.746434969e+02,1.000000000e+00,1.269057342e-17,1.000000000e+00
5.914660545e+02,1.000000000e+00,7.015701890e-17,1.000000000e+00
6.087810886e+02,1.000000000e+00,-4.604262004e-17,1.000000000e+00
6.266030164e+02,1.000000000e+00,-5.579377553e-18,1.000000000e+00
6.449466771e+02,1.000000000e+00,4.091449934e-17,1.000000000e+00
6.638273443e+02,1.000000000e+00,-1.883053486e-17,1.000000000e+00
6.832607387e+02,1.000000000e+00,-5.756557496e-18,1.000000000e+00
7.032630413e+02,1.000000000e+00,2.555296191e-17,1.000000000e+00
7.238509068e+02,1.000000000e+00,5.150420305e-18,1.000000000e+00
7.450414774e+02,1.000000000e+00,1.700666206e-17,1.000000000e+00
7.668523971e+02,1.000000000e+00,-1.067996998e-18,1.000000000e+00
7.893018265e+02,1.000000000e+00,1.178026311e-17,1.000000000e+00
8.124084578e+02,1.000000000e+00,1.109209861e-17,1.000000000e+00
8.361915305e+02,1.000000000e+00,2.162486323e-18,1.000000000e+00
8.606708472e+02,1.000000000e+00,6.991759920e-19,1.000000000e+00
8.858667904e+02,1.000000000e+00,1.339346002e-18,1.000000000e+00
9.118003391e+02,1.000000000e+00,-5.653614671e-18,1.000000000e+00
9.384930865e+02,1.000000000e+00,-1.027440057e-18,1.000000000e+00
9.659672580e+02,1.000000000e+00,1.498609503e-17,1.000000000e+00
9.942457296e+02,1.000000000e+00,7.218245017e-18,1.000000000e+00
1.023352047e+03,1.000000000e+00,-1.110958498e-17,1.000000000e+00
1.053310445e+03,1.000000000e+00,-1.023367759e-17,1.000000000e+00
1.084145869e+03,1.000000000e+00,-3.131966466e-17,1.000000000e+00
1.115883993e+03,1.000000000e+00,-2.119717013e-18,1.000000000e+00
1.148551242e+03,1.000000000e+00,2.642007407e-17,1.000000000e+00
1.182174819e+03,1.000000000e+00,-1.416011694e-17,1.000000000e+00
1.216782717e+03,1.000000000e+00,-2.136604772e-17,1.000000000e+00
1.252403755e+03,1.000000000e+00,2.631053031e-18,1.000000000e+00
1.289067589e+03,1.000000000e+00,9.432633612e-18,1.000000000e+00
1.326804750e+03,1.000000000e+00,-3.479123899e-17,1.000000000e+00
1.365646657e+03,1.000000000e+00,1.886892981e-17,1.000000000e+00
1.405625652e+03,1.000000000e+00,4.589433244e-17,1.000000000e+00
1.446775023e+03,1.000000000e+00,-5.481609040e-17,1.000000000e+00
1.489129032e+03,1.000000000e+00,6.736576392e-17,1.000000000e+00
1.532722946e+03,1.000000000e+00,-4.787570060e-17,1.000000000e+00
1.577593061e+03,1.000000000e+00,-2.260284671e-17,1.000000000e+00
1.623776739e+03,1.000000000e+00,-3.373383925e-17,1.000000000e+00
1.671312434e+03,1.000000000e+00,3.275930567e-17,1.000000000e+00
1.720239725e+03,1.000000000e+00,-1.284027846e-17,1.000000000e+00
1.770599351e+03,1.000000000e+00,2.897626911e-17,1.000000000e+00
1.822433244e+03,1.000000000e+00,1.650179453e-18,1.000000000e+00
1.875784563e+03,1.000000000e+00,-2.161180331e-18,1.000000000e+00
1.930697729e+03,1.000000000e+00,1.823456766e-18,1.000000000e+00
1.987218465e+03,1.000000000e+00,1.998293459e-18,1.000000000e+00
2.045393834e+03,1.000000000e+00,1.133068738e-17,1.000000000e+00
2.105272273e+03,1.000000000e+00,-3.155249391e-18,1.000000000e+00
2.166903639e+03,1.000000000e+00,2.122491352e-18,1.000000000e+00
2.230339250e+03,1.000000000e+00,-2.065513478e-17,1.000000000e+00
2.295631924e+03,1.000000000e+00,-1.647639790e-17,1.000000000e+00
2.362836026e+03,1.000000000e+00,-5.261022324e-17,1.000000000e+00
2.432007513e+03,1.000000000e+00,-1.580765590e-17,1.000000000e+00
2.503203980e+03,1.000000000e+00,-3.250302445e-17,1.000000000e+00
2.576484707e+03,1.000000000e+00,8.165411858e-18,1.000000000e+00
2.651910710e+03,1.000000000e+00,2.728602939e-17,1.000000000e+00
2.729544792e+03,1.000000000e+00,-1.380566017e-17,1.000000000e+00
2.809451595e+03,1.000000000e+00,-3.890592092e-17,1.000000000e+00
2.891697651e+03,1.000000000e+00,4.822732262e-17,1.000000000e+00
2.976351442e+03,1.000000000e+00,-1.964721798e-17,1.000000000e+00
3.063483453e+03,1.000000000e+00,-2.896888266e-17,1.000000000e+00
3.153166234e+03,1.000000000e+00,-1.969018925e-17,1.000000000e+00
3.245474457e+03,1.000000000e+00,-3.032483633e-17,1.000000000e+00
3.340484984e+03,1.000000000e+00,3.421986349e-18,1.000000000e+00
