log,fw,t0,t1,mode,share_sp,r_cmd,alpha,I_tot,I_fc,I_batt,V_bus,gFC,gBT,n_samples
TP0007,,6.459022,6.963753,legacy,0.5,0.47759040608289405,0.4999750963028083,1.1357027445336427,0.5678607209953596,0.5678420235382831,15.844831110208817,0.3119568817842227,0.2851924135777262,431
TP0007,,6.964923,7.469661,legacy,0.5,0.47876883793927916,0.4999972937067779,1.1924495519675173,0.5962808683712297,0.5961686835962876,15.841625284918795,0.3111898091438515,0.2858378185730858,431
TP0007,,7.470821,7.975559,legacy,0.5,0.4791063288684227,0.4999347589578775,1.2367064525568445,0.6184186674013921,0.6182877851554524,15.83763913410673,0.31096969830162413,0.2860223442923434,431
TP0007,,7.976723,8.481456,legacy,0.5,0.47918000850542664,0.49998020979783775,1.2714463432575407,0.6359194950185615,0.6355268482389791,15.835044986078888,0.31092058442227377,0.2860617888027842,431
TP0007,,8.482616,8.987354,legacy,0.5,0.47943218692875167,0.5000468412316391,1.3260803370974479,0.6634234665939674,0.6626568705034802,15.830521050812065,0.31075772699071924,0.28620090531554526,431
TP0007,,8.988722,9.493478,legacy,0.5,0.47946184234208755,0.5000390093661866,1.2877692305081205,0.6442398670974477,0.6435293634106728,15.833853375406033,0.3107393111229698,0.2862178444037123,431
TP0008,,6.454689,6.959367,legacy,0.699999988,0.6730135624208051,0.7000346939426282,1.322939161788863,0.9258423921067285,0.39709676968213453,15.834696994431555,0.22137167605336427,0.45564094468677496,431
TP0008,,6.96053,7.46521,legacy,0.699999988,0.6724701186328605,0.7000671946903684,1.384285543962877,0.9688465607587007,0.4154389832041763,15.830278524593972,0.22155108831090486,0.4548893458979118,431
TP0008,,7.46637,7.971044,legacy,0.699999988,0.6717301863323912,0.699934035531994,1.4260182870812064,0.9978276324547564,0.4281906546264502,15.827705430394435,0.22179540213457075,0.45386613693503475,431
TP0008,,7.972207,8.476874,legacy,0.699999988,0.6716247204429637,0.6999481003643092,1.4630953621415312,1.0238171105522043,0.43927825158932715,15.824636744315546,0.22182996728306265,0.4537181734686775,431
TP0008,,8.478034,8.982709,legacy,0.699999988,0.6721286650510424,0.7000696069127935,1.5034444906055686,1.0521250712969838,0.45131941930858466,15.822148028306266,0.22166660302784222,0.4544411723410673,431
TP0010,,7.940001,8.444531,legacy,0.300000012,0.31588600153814433,0.2999706975198644,1.6695153805452436,0.501335139199536,1.1681802413457076,15.798115151044085,0.47166360000000007,0.2177807019187935,431
TP0010,,8.445691,8.950338,legacy,0.300000012,0.31642888224393445,0.3000053873318404,1.721886981201856,0.5172092873271462,1.20467769387471,15.795679192807425,0.47085268667981434,0.2179535003967517,431
TP0010,,8.951501,9.456191,legacy,0.300000012,0.31718372491422825,0.2999718157572055,1.6803599144941994,0.5045884981902552,1.175771416303944,15.799159149883993,0.4697300280649652,0.2181942480649652,431
TP0017,3,7.452156,7.956832,legacy,0.180000007,0.18422130147326765,0.18000310075729412,1.697168931099768,0.3063392728167053,1.3908296582830624,15.800846395823665,0.8089007852923434,0.18263169328306267,431
TP0017,3,8.46403,8.968715,legacy,0.180000007,0.184278419082462,0.17994317066224685,1.795461504410673,0.32398968009512763,1.4714718243155451,15.794962090719258,0.808644424600928,0.18264441371925755,431
TP0017,3,8.969879,9.474597,legacy,0.180000007,0.18395765448907558,0.17985137991667782,1.7404535695475638,0.3139678386658933,1.4264857308816705,15.798684592807426,0.810074540661253,0.18257284267749418,431
TP0018,3,7.488795,7.993447,legacy,0.200000003,0.20328868138585068,0.19985619178347497,1.7676396786705337,0.35422348159396744,1.4134161970765662,15.796575516473318,0.7330180769002319,0.18700290565661254,431
TP0018,3,7.99461,8.499264,legacy,0.200000003,0.20373751623942116,0.20011385312951077,1.817431030299304,0.3648249444524362,1.4526060858468677,15.794097340371229,0.7314204237517401,0.187108592712297,431
TP0019,3,6.974576,7.479194,legacy,0.224999994,0.22606344044714566,0.2250490543743529,1.7370132277703016,0.39212324389559167,1.34488998387471,15.79990786287703,0.6591349935498839,0.19250573659628772,431
TP0019,3,8.491903,8.996519,legacy,0.224999994,0.22828562714254352,0.22497593643119917,1.8795440052180972,0.4240772122482599,1.4554667929698377,15.79085991763341,0.6526986021716937,0.193059597162413,431
TP0019,3,8.997682,9.502349,legacy,0.224999994,0.22751410670134595,0.22509526495772494,1.8070726353387472,0.40794129963109044,1.3991313357076567,15.796575516473318,0.654938516238979,0.19286743403016243,431
TP0020,3,6.467245,6.972058,legacy,0.25,0.24785722378651392,0.2500524810049232,1.668917062837587,0.41829969541299306,1.250617367424594,15.804189260324826,0.6011657370719258,0.198083904450116,431
TP0020,3,7.478994,7.983613,legacy,0.25,0.2496498096594243,0.2500632256124975,1.8258822863897912,0.45754567527610207,1.3683366111136892,15.793907552436194,0.5968365965638052,0.1985567190139211,431
TP0020,3,7.984776,8.489384,legacy,0.25,0.25031312786717314,0.2500743424117668,1.8663809943410672,0.4678666761508121,1.398514318190255,15.790796656148492,0.5952414424849188,0.1987319009814385,431
TP0020,3,8.490545,8.995155,legacy,0.25,0.25118245817933327,0.24989379505263573,1.9061131058422274,0.4775145683016241,1.4285985375406032,15.78823413039443,0.5931709339698376,0.19896224908816704,431
TP0020,3,8.996318,9.50097,legacy,0.25,0.2498608081568815,0.2500665534951598,1.8349692497006962,0.45999504325058005,1.3749742064501163,15.794424247795824,0.5963308494663573,0.19861249998839908,431
TP0021,3,6.47125,6.975852,legacy,0.300000012,0.29321499798694955,0.3001221453554326,1.6927002359999999,0.5085710582969838,1.1841291777030163,15.802385993735502,0.5081270594361949,0.21079437708816703,431
TP0021,3,6.977015,7.481624,legacy,0.300000012,0.2947255149921242,0.2998611755316306,1.7771005931624126,0.5335134770835268,1.2435871160788863,15.796259167517402,0.5055265757633411,0.21124614305568448,431
TP0021,3,7.482784,7.987389,legacy,0.300000012,0.29487822129514085,0.29997299609323536,1.8451967678677497,0.5541741763596288,1.2910225915081206,15.79195665986079,0.5052589739744779,0.21129146944315544,431
TP0021,3,7.988552,8.493156,legacy,0.300000012,0.2960142161365365,0.30002738560700465,1.891884336610209,0.5685338297656612,1.3233505068445475,15.788814115545245,0.503326449150812,0.2116329091647332,431
TP0021,3,8.494316,8.998921,legacy,0.300000012,0.29646962868589466,0.30008060379830964,1.9312612002041762,0.5803693253549884,1.3508918748491878,15.786314877262182,0.502548960136891,0.21176959078422272,431
TP0021,3,9.000084,9.504736,legacy,0.300000012,0.2977287585547792,0.3000001761195126,1.8582475962691416,0.5584185009791183,1.2998290952900236,15.792167539675173,0.500435353712297,0.21215017767749422,431
TP0022,3,6.454596,6.959203,legacy,0.349999994,0.3402039165975162,0.35001856560938727,1.6769382709651972,0.58751175712529,1.089426513839907,15.804357993735499,0.43794292799999995,0.2258070775034803,431
TP0022,3,6.960366,7.464978,legacy,0.349999994,0.34218779196476135,0.3499822411425701,1.7708930402111365,0.6204753886055685,1.1504176516055682,15.79730315823666,0.43540609221345705,0.22648842390023205,431
TP0022,3,7.466138,7.970755,legacy,0.349999994,0.34235712060988227,0.34989485323561287,1.839213578733179,0.6441650772366588,1.1950485014965198,15.79265264547564,0.4351878857610209,0.22654634055916475,431
TP0022,3,7.971918,8.476518,legacy,0.349999994,0.3429848170994111,0.35006291471899326,1.89040724124826,0.6622455262598608,1.2281617149883992,15.788909054292343,0.43439093691415315,0.2267627123735499,431
TP0022,3,8.477678,8.982278,legacy,0.349999994,0.34348196120824986,0.3499308684568504,1.9291296891183294,0.6755768190719257,1.2535528700464038,15.786167222737818,0.4337647223921114,0.22693479484454757,431
TP0022,3,8.983441,9.488093,legacy,0.349999994,0.3436274562302356,0.35010185605374333,1.8633894002180973,0.6531211631438515,1.210268237074246,15.791355562412992,0.4335806326983758,0.22698503484222737,431
TP0023,3,5.962643,6.467243,legacy,0.400000006,0.3861974229840181,0.3998266122311648,1.570381418227378,0.6283657189930395,0.9420156992343387,15.814650264037123,0.3858005473016241,0.24273154473781902,431
TP0023,3,6.46841,6.973212,legacy,0.400000006,0.3870174130518059,0.3999976487747746,1.706012832401392,0.682999712825986,1.023013119575406,15.803767456612528,0.38496736225754064,0.24305240699535965,431
TP0023,3,6.974375,7.478981,legacy,0.400000006,0.3877470759242626,0.4001014254804283,1.798696171990719,0.7200019968027842,1.078694175187935,15.796396264501158,0.3842427621925754,0.24334203766589324,431
TP0023,3,7.480141,7.984752,legacy,0.400000006,0.38906255091816266,0.39988887550643,1.8644177603573084,0.7458044990510441,1.1186132613062645,15.791302847563806,0.38294055391183296,0.24386524226682132,431
TP0023,3,7.985915,8.490521,legacy,0.400000006,0.3902477021620361,0.39999043828100583,1.917948603914153,0.7673813740951276,1.1505672298190255,15.787917776798144,0.38178250372389794,0.2443405377099768,431
TP0023,3,8.491681,8.996286,legacy,0.400000006,0.3897441122751324,0.3999961178847385,1.960447939422274,0.7843773701415313,1.1760705692807425,15.785386907424595,0.38227876592807425,0.24413966387470998,431
TP0023,3,8.99745,9.502103,legacy,0.400000006,0.38912364790621207,0.4000239606748798,1.888387912308585,0.7556580632877031,1.1327298490208817,15.791134100696055,0.38289494072389796,0.24389338846171693,431
TP0024,3,5.960984,6.465569,legacy,0.449999988,0.43407855464064204,0.44988799367329385,1.5839744769350348,0.7128034726542923,0.8711710042807426,15.81222483689095,0.34323449032714615,0.26326718779814384,431
TP0024,3,6.466729,6.971321,legacy,0.449999988,0.43561054512195563,0.44996472274341043,1.726823110199536,0.7769918713085848,0.9498312388909513,15.801922017401392,0.34202069374477956,0.26397880524825984,431
TP0024,3,6.972485,7.477284,legacy,0.449999988,0.43583127522291065,0.4500649215769684,1.8177301881345709,0.8181823875150813,0.9995478006194896,15.794824989327148,0.3418463863990719,0.2640815921484919,431
TP0024,3,7.478444,7.983037,legacy,0.449999988,0.4360157479335313,0.44999352554388833,1.880534974983759,0.8463781650394431,1.0341568099443155,15.790670126218098,0.34170198445939676,0.2641680822111369,431
