t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
203921606,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55048943,8.44330978,0,13.3238449,0,0,0,0,0,,51
203922735,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55953121,8.43908691,0,13.3238449,0,0,0,0,0,,51
203923862,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54747581,8.44119835,0,13.3238449,0,0,0,0,0,,51
203924992,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.51130867,8.44330978,0,13.3309927,0,0,0,0,0,,51
203926123,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52336502,8.43486404,0,13.3238449,0,0,0,0,0,,51
203927253,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56254578,8.44119835,0,13.3238449,0,0,0,0,0,,51
203928379,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56555939,8.44119835,0,13.3238449,0,0,0,0,0,,51
203929509,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.59569836,8.44119835,0,13.3238449,0,0,0,0,0,,51
203930635,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55350399,8.44330978,0,13.3238449,0,0,0,0,0,,51
203931765,0.5,1,0,0,0.00805860758,0,0,0,15.9349623,0,8.52637863,8.43908691,0,13.3238449,0,0,0,0,0,,51
203932892,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.44119835,0,13.3238449,0,0,0,0,0,,51
203934231,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.5444622,8.44119835,0,13.3166971,0,0,0,0,0,,51
203935357,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.57158756,8.43486404,0,13.3238449,0,0,0,0,0,,51
203936487,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56555939,8.44330978,0,13.3238449,0,0,0,0,0,,51
203937613,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.568573,8.44119835,0,13.3238449,0,0,0,0,0,,51
203938743,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.58967113,8.44119835,0,13.3238449,0,0,0,0,0,,51
203939869,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.58665657,8.44330978,0,13.3238449,0,0,0,0,0,,51
203941000,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55048943,8.44330978,0,13.3238449,0,0,0,0,0,,51
203942131,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.44119835,0,13.3166971,0,0,0,0,0,,51
203943261,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.57158756,8.44119835,0,13.3238449,0,0,0,0,0,,51
203944388,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.56555939,8.44330978,0,13.3238449,0,0,0,0,0,,51
203945517,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.52637863,8.44119835,0,13.3238449,0,0,0,0,0,,51
203946644,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55350399,8.44330978,0,13.3238449,0,0,0,0,0,,51
203947773,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.52035046,8.44119835,0,13.3166971,0,0,0,0,0,,51
203948901,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.58062935,8.44119835,0,13.3238449,0,0,0,0,0,,51
203950035,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.57158756,8.44119835,0,13.3095493,0,0,0,0,0,,51
203951162,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54747581,8.44330978,0,13.3238449,0,0,0,0,0,,51
203952292,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56254578,8.44119835,0,13.3238449,0,0,0,0,0,,51
203953419,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.52336502,8.44119835,0,13.3238449,0,0,0,0,0,,51
203954549,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56254578,8.43908691,0,13.3238449,0,0,0,0,0,,51
203955880,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.57460117,8.44119835,0,13.3238449,0,0,0,0,0,,51
203957014,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.54747581,8.44330978,0,13.3166971,0,0,0,0,0,,51
203958141,0.5,0.666666687,0,0,0.0161172152,0.00805860758,0,0,15.9349623,0,8.55350399,8.43908691,0,13.3238449,0,0,0,0,0,,51
203959270,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.56555939,8.44330978,0,13.3238449,0,0,0,0,0,,51
203960397,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56254578,8.44119835,0,13.3166971,0,0,0,0,0,,51
203961526,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.44119835,0,13.3238449,0,0,0,0,0,,51
