t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,enc_edge_count_a,enc_edge_count_b,enc_phase_ewma,enc_duty_a_ewma,enc_duty_b_ewma,fault_flags,ps_phase,dc_phase,trap_phase,flags
53286389,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53287516,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53288643,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53289984,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53291111,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53292238,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53293365,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0.00714798551,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53294492,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53295624,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53296751,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53297878,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53299005,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53300132,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53301263,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53302390,0.5,0,0,0,0,0.00805860758,0,0,0,0,8.5444622,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53303517,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53304644,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53305771,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53306903,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53308031,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
53309158,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1280,0,0,0,1296,1296,0,0,0,0,,,,50
