t_s,r_cmd,alpha,v_bus
1.510000e-03,0.6000,0.600000,14.70672
1.515000e-03,0.6000,0.600000,14.70672
1.520000e-03,0.6000,0.600000,14.70672
1.525000e-03,0.6000,0.600000,14.70672
1.530000e-03,0.6000,0.600000,14.70672
1.535000e-03,0.6000,0.600000,14.70672
1.540000e-03,0.6000,0.600000,14.70672
1.545000e-03,0.6000,0.600000,14.70672
1.550000e-03,0.6000,0.600000,14.70672
1.555000e-03,0.6000,0.600000,14.70672
1.560000e-03,0.6000,0.600000,14.70672
1.565000e-03,0.6000,0.600000,14.70672
1.570000e-03,0.6000,0.600000,14.70672
1.575000e-03,0.6000,0.600000,14.70672
1.580000e-03,0.6000,0.600000,14.70672
1.585000e-03,0.6000,0.600000,14.70672
1.590000e-03,0.6000,0.600000,14.70672
1.595000e-03,0.6000,0.600000,14.70672
1.600000e-03,0.6000,0.600000,14.70672
1.605000e-03,0.6000,0.600000,14.70672
1.610000e-03,0.6000,0.600000,14.70672
1.615000e-03,0.6000,0.600000,14.70672
1.620000e-03,0.6000,0.600000,14.70672
1.625000e-03,0.6000,0.600000,14.70672
1.630000e-03,0.6000,0.600000,14.70672
1.635000e-03,0.6000,0.600000,14.70672
1.640000e-03,0.6000,0.600000,14.70672
1.645000e-03,0.6000,0.600000,14.70672
1.650000e-03,0.6000,0.600000,14.70672
1.655000e-03,0.6000,0.600000,14.70672
1.660000e-03,0.6000,0.600000,14.70672
1.665000e-03,0.6000,0.600000,14.70672
1.670000e-03,0.6000,0.600000,14.70672
1.675000e-03,0.6000,0.600000,14.70672
1.680000e-03,0.6000,0.600000,14.70672
1.685000e-03,0.6000,0.600000,14.70672
1.690000e-03,0.6000,0.600000,14.70672
1.695000e-03,0.6000,0.600000,14.70672
1.700000e-03,0.6000,0.600000,14.70672
1.705000e-03,0.6000,0.600000,14.70672
1.710000e-03,0.6000,0.600000,14.70672
1.715000e-03,0.6000,0.600000,14.70672
1.720000e-03,0.6000,0.600000,14.70672
1.725000e-03,0.6000,0.600000,14.70672
1.730000e-03,0.6000,0.600000,14.70672
1.735000e-03,0.6000,0.600000,14.70672
1.740000e-03,0.6000,0.600000,14.70672
1.745000e-03,0.6000,0.600000,14.70672
1.750000e-03,0.6000,0.600000,14.70672
1.755000e-03,0.6000,0.600000,14.70672
1.760000e-03,0.6000,0.600000,14.70672
1.765000e-03,0.6000,0.600000,14.70672
1.770000e-03,0.6000,0.600000,14.70672
1.775000e-03,0.6000,0.600000,14.70672
1.780000e-03,0.6000,0.600000,14.70672
1.785000e-03,0.6000,0.600000,14.70672
1.790000e-03,0.6000,0.600000,14.70672
1.795000e-03,0.6000,0.600000,14.70672
1.800000e-03,0.6000,0.600000,14.70672
1.805000e-03,0.6000,0.600000,14.70672
1.810000e-03,0.6000,0.600000,14.70672
