w_rad_s,full_mag,full_phase_deg,simp_mag,simp_phase_deg,corner_mag_min,corner_mag_max
3.478191e+01,9.932841e-01,-2.129,9.999940e-01,-2.192,9.999456e-01,9.999998e-01
3.600733e+01,9.932832e-01,-2.204,9.999935e-01,-2.269,9.999417e-01,9.999997e-01
3.727594e+01,9.932823e-01,-2.282,9.999931e-01,-2.349,9.999375e-01,9.999997e-01
3.858923e+01,9.932812e-01,-2.362,9.999926e-01,-2.432,9.999330e-01,9.999997e-01
3.994880e+01,9.932801e-01,-2.445,9.999920e-01,-2.518,9.999282e-01,9.999997e-01
4.135627e+01,9.932789e-01,-2.531,9.999914e-01,-2.606,9.999230e-01,9.999997e-01
4.281332e+01,9.932776e-01,-2.621,9.999908e-01,-2.698,9.999175e-01,9.999996e-01
4.432171e+01,9.932762e-01,-2.713,9.999902e-01,-2.793,9.999116e-01,9.999996e-01
4.588325e+01,9.932747e-01,-2.808,9.999895e-01,-2.892,9.999053e-01,9.999996e-01
4.749979e+01,9.932731e-01,-2.907,9.999887e-01,-2.994,9.998985e-01,9.999995e-01
4.917330e+01,9.932714e-01,-3.010,9.999879e-01,-3.099,9.998912e-01,9.999995e-01
5.090576e+01,9.932696e-01,-3.116,9.999870e-01,-3.208,9.998834e-01,9.999995e-01
5.269926e+01,9.932676e-01,-3.226,9.999861e-01,-3.321,9.998750e-01,9.999994e-01
5.455595e+01,9.932655e-01,-3.339,9.999851e-01,-3.438,9.998661e-01,9.999994e-01
5.647805e+01,9.932633e-01,-3.457,9.999841e-01,-3.560,9.998565e-01,9.999994e-01
5.846787e+01,9.932609e-01,-3.579,9.999829e-01,-3.685,9.998462e-01,9.999993e-01
6.052780e+01,9.932583e-01,-3.705,9.999817e-01,-3.815,9.998352e-01,9.999993e-01
6.266030e+01,9.932555e-01,-3.835,9.999804e-01,-3.949,9.998234e-01,9.999992e-01
6.486794e+01,9.932526e-01,-3.971,9.999790e-01,-4.088,9.998107e-01,9.999992e-01
6.715335e+01,9.932494e-01,-4.110,9.999775e-01,-4.232,9.997971e-01,9.999991e-01
6.951928e+01,9.932460e-01,-4.255,9.999758e-01,-4.381,9.997826e-01,9.999990e-01
7.196857e+01,9.932424e-01,-4.405,9.999741e-01,-4.536,9.997670e-01,9.999990e-01
7.450415e+01,9.932385e-01,-4.560,9.999722e-01,-4.696,9.997503e-01,9.999989e-01
7.712906e+01,9.932343e-01,-4.721,9.999703e-01,-4.861,9.997324e-01,9.999988e-01
7.984645e+01,9.932298e-01,-4.887,9.999681e-01,-5.032,9.997132e-01,9.999987e-01
8.265959e+01,9.932250e-01,-5.060,9.999658e-01,-5.210,9.996927e-01,9.999986e-01
8.557183e+01,9.932198e-01,-5.238,9.999634e-01,-5.393,9.996706e-01,9.999985e-01
8.858668e+01,9.932143e-01,-5.422,9.999608e-01,-5.583,9.996470e-01,9.999984e-01
9.170775e+01,9.932084e-01,-5.613,9.999580e-01,-5.780,9.996218e-01,9.999983e-01
9.493877e+01,9.932020e-01,-5.811,9.999549e-01,-5.984,9.995946e-01,9.999982e-01
9.828363e+01,9.931952e-01,-6.016,9.999517e-01,-6.194,9.995656e-01,9.999981e-01
1.017463e+02,9.931879e-01,-6.228,9.999482e-01,-6.413,9.995345e-01,9.999979e-01
1.053310e+02,9.931801e-01,-6.447,9.999445e-01,-6.639,9.995011e-01,9.999978e-01
1.090420e+02,9.931717e-01,-6.674,9.999406e-01,-6.872,9.994654e-01,9.999976e-01
1.128838e+02,9.931628e-01,-6.909,9.999363e-01,-7.115,9.994271e-01,9.999975e-01
1.168609e+02,9.931532e-01,-7.153,9.999317e-01,-7.365,9.993860e-01,9.999973e-01
1.209781e+02,9.931429e-01,-7.405,9.999268e-01,-7.625,9.993420e-01,9.999971e-01
1.252404e+02,9.931318e-01,-7.666,9.999216e-01,-7.893,9.992949e-01,9.999969e-01
1.296528e+02,9.931200e-01,-7.936,9.999160e-01,-8.171,9.992444e-01,9.999966e-01
1.342207e+02,9.931073e-01,-8.215,9.999099e-01,-8.459,9.991903e-01,9.999964e-01
1.389495e+02,9.930937e-01,-8.505,9.999035e-01,-8.757,9.991323e-01,9.999961e-01
1.438450e+02,9.930792e-01,-8.804,9.998966e-01,-9.066,9.990702e-01,9.999959e-01
1.489129e+02,9.930636e-01,-9.115,9.998891e-01,-9.385,9.990036e-01,9.999956e-01
1.541594e+02,9.930469e-01,-9.436,9.998812e-01,-9.716,9.989323e-01,9.999952e-01
1.595907e+02,9.930289e-01,-9.768,9.998727e-01,-10.058,9.988559e-01,9.999949e-01
1.652133e+02,9.930097e-01,-10.112,9.998636e-01,-10.413,9.987740e-01,9.999945e-01
1.710341e+02,9.929892e-01,-10.468,9.998538e-01,-10.779,9.986862e-01,9.999941e-01
1.770599e+02,9.929671e-01,-10.837,9.998433e-01,-11.159,9.985922e-01,9.999937e-01
1.832981e+02,9.929435e-01,-11.219,9.998321e-01,-11.552,9.984915e-01,9.999933e-01
1.897560e+02,9.929182e-01,-11.614,9.998200e-01,-11.959,9.983836e-01,9.999928e-01
1.964414e+02,9.928911e-01,-12.023,9.998071e-01,-12.381,9.982680e-01,9.999923e-01
2.033624e+02,9.928620e-01,-12.447,9.997933e-01,-12.817,9.981441e-01,9.999917e-01
2.105272e+02,9.928309e-01,-12.885,9.997785e-01,-13.268,9.980115e-01,9.999911e-01
2.179445e+02,9.927975e-01,-13.339,9.997626e-01,-13.736,9.978693e-01,9.999905e-01
2.256230e+02,9.927618e-01,-13.809,9.997456e-01,-14.220,9.977171e-01,9.999898e-01
2.335721e+02,9.927235e-01,-14.296,9.997273e-01,-14.721,9.975540e-01,9.999891e-01
2.418013e+02,9.926824e-01,-14.799,9.997078e-01,-15.239,9.973793e-01,9.999883e-01
2.503204e+02,9.926384e-01,-15.320,9.996868e-01,-15.776,9.971922e-01,9.999875e-01
