w_rad_s,Gc_hinf_mag,Gc_youlah_mag,Gc_reduced_mag,Gc_discrete_mag
9.236709e-02,1.209347e+03,1.210511e+03,1.210514e+03,1.210514e+03
9.403806e-02,1.187897e+03,1.189002e+03,1.189004e+03,1.189004e+03
9.573927e-02,1.166826e+03,1.167874e+03,1.167876e+03,1.167876e+03
9.747125e-02,1.146128e+03,1.147122e+03,1.147124e+03,1.147124e+03
9.923456e-02,1.125796e+03,1.126739e+03,1.126741e+03,1.126741e+03
1.010298e-01,1.105823e+03,1.106717e+03,1.106719e+03,1.106719e+03
1.028575e-01,1.086203e+03,1.087052e+03,1.087054e+03,1.087054e+03
1.047182e-01,1.066931e+03,1.067736e+03,1.067738e+03,1.067738e+03
1.066126e-01,1.047999e+03,1.048763e+03,1.048765e+03,1.048765e+03
1.085413e-01,1.029403e+03,1.030128e+03,1.030129e+03,1.030129e+03
1.105049e-01,1.011135e+03,1.011823e+03,1.011825e+03,1.011825e+03
1.125040e-01,9.931910e+02,9.938439e+02,9.938452e+02,9.938452e+02
1.145393e-01,9.755645e+02,9.761842e+02,9.761854e+02,9.761854e+02
1.166113e-01,9.582501e+02,9.588382e+02,9.588393e+02,9.588393e+02
1.187209e-01,9.412423e+02,9.418005e+02,9.418015e+02,9.418015e+02
1.208687e-01,9.245357e+02,9.250655e+02,9.250665e+02,9.250665e+02
1.230552e-01,9.081250e+02,9.086278e+02,9.086288e+02,9.086288e+02
1.252814e-01,8.920049e+02,8.924823e+02,8.924832e+02,8.924832e+02
1.275478e-01,8.761705e+02,8.766236e+02,8.766245e+02,8.766245e+02
1.298552e-01,8.606166e+02,8.610468e+02,8.610476e+02,8.610476e+02
1.322044e-01,8.453383e+02,8.457467e+02,8.457475e+02,8.457475e+02
1.345960e-01,8.303307e+02,8.307185e+02,8.307193e+02,8.307193e+02
1.370310e-01,8.155891e+02,8.159574e+02,8.159581e+02,8.159580e+02
1.395099e-01,8.011088e+02,8.014585e+02,8.014591e+02,8.014591e+02
1.420337e-01,7.868852e+02,7.872172e+02,7.872179e+02,7.872179e+02
1.446032e-01,7.729137e+02,7.732291e+02,7.732297e+02,7.732297e+02
1.472192e-01,7.591899e+02,7.594894e+02,7.594900e+02,7.594900e+02
1.498825e-01,7.457094e+02,7.459940e+02,7.459945e+02,7.459945e+02
1.525939e-01,7.324680e+02,7.327383e+02,7.327388e+02,7.327388e+02
1.553544e-01,7.194613e+02,7.197181e+02,7.197186e+02,7.197186e+02
1.581649e-01,7.066854e+02,7.069294e+02,7.069298e+02,7.069298e+02
1.610262e-01,6.941360e+02,6.943678e+02,6.943683e+02,6.943683e+02
1.639393e-01,6.818092e+02,6.820295e+02,6.820299e+02,6.820299e+02
1.669050e-01,6.697010e+02,6.699104e+02,6.699108e+02,6.699108e+02
1.699244e-01,6.578076e+02,6.580067e+02,6.580070e+02,6.580070e+02
1.729985e-01,6.461253e+02,6.463145e+02,6.463148e+02,6.463148e+02
1.761281e-01,6.346501e+02,6.348300e+02,6.348303e+02,6.348303e+02
1.793144e-01,6.233786e+02,6.235496e+02,6.235499e+02,6.235499e+02
1.825583e-01,6.123071e+02,6.124697e+02,6.124700e+02,6.124700e+02
1.858609e-01,6.014320e+02,6.015866e+02,6.015869e+02,6.015869e+02
1.892232e-01,5.907499e+02,5.908969e+02,5.908972e+02,5.908972e+02
1.926464e-01,5.802573e+02,5.803972e+02,5.803974e+02,5.803974e+02
1.961315e-01,5.699509e+02,5.700840e+02,5.700842e+02,5.700842e+02
1.996796e-01,5.598275e+02,5.599541e+02,5.599543e+02,5.599543e+02
2.032919e-01,5.498837e+02,5.500042e+02,5.500044e+02,5.500044e+02
2.069696e-01,5.401164e+02,5.402311e+02,5.402313e+02,5.402313e+02
2.107138e-01,5.305225e+02,5.306317e+02,5.306318e+02,5.306318e+02
2.145257e-01,5.210989e+02,5.212028e+02,5.212029e+02,5.212029e+02
2.184066e-01,5.118425e+02,5.119414e+02,5.119416e+02,5.119416e+02
2.223578e-01,5.027505e+02,5.028447e+02,5.028448e+02,5.028448e+02
2.263803e-01,4.938199e+02,4.939096e+02,4.939097e+02,4.939097e+02
2.304757e-01,4.850478e+02,4.851332e+02,4.851333e+02,4.851333e+02
2.346451e-01,4.764314e+02,4.765128e+02,4.765129e+02,4.765129e+02
2.388900e-01,4.679680e+02,4.680456e+02,4.680457e+02,4.680457e+02
2.432117e-01,4.596549e+02,4.597288e+02,4.597289e+02,4.597289e+02
2.476115e-01,4.514894e+02,4.515598e+02,4.515599e+02,4.515599e+02
2.520910e-01,4.434688e+02,4.435360e+02,4.435361e+02,4.435361e+02
2.566514e-01,4.355907e+02,4.356547e+02,4.356548e+02,4.356548e+02
2.612944e-01,4.278524e+02,4.279135e+02,4.279136e+02,4.279136e+02
2.660214e-01,4.202516e+02,4.203098e+02,4.203099e+02,4.203099e+02
2.708339e-01,4.127857e+02,4.128413e+02,4.128414e+02,4.128414e+02
2.757334e-01,4.054524e+02,4.055055e+02,4.055055e+02,4.055055e+02
2.807216e-01,3.982494e+02,3.983000e+02,3.983000e+02,3.983000e+02
2.858000e-01,3.911742e+02,3.912225e+02,3.912226e+02,3.912226e+02
2.909703e-01,3.842247e+02,3.842708e+02,3.842709e+02,3.842709e+02
2.962342e-01,3.773986e+02,3.774427e+02,3.774427e+02,3.774427e+02
3.015932e-01,3.706938e+02,3.707358e+02,3.707359e+02,3.707359e+02
3.070492e-01,3.641080e+02,3.641482e+02,3.641482e+02,3.641482e+02
3.126039e-01,3.576391e+02,3.576776e+02,3.576776e+02,3.576776e+02
3.182591e-01,3.512852e+02,3.513219e+02,3.513220e+02,3.513220e+02
3.240166e-01,3.450441e+02,3.450792e+02,3.450793e+02,3.450793e+02
3.298783e-01,3.389139e+02,3.389475e+02,3.389475e+02,3.389475e+02
3.358460e-01,3.328926e+02,3.329247e+02,3.329247e+02,3.329247e+02
3.419216e-01,3.269782e+02,3.270089e+02,3.270089e+02,3.270089e+02
3.481072e-01,3.211688e+02,3.211982e+02,3.211982e+02,3.211982e+02
3.544047e-01,3.154626e+02,3.154908e+02,3.154908e+02,3.154908e+02
3.608161e-01,3.098578e+02,3.098848e+02,3.098848e+02,3.098848e+02
3.673435e-01,3.043526e+02,3.043784e+02,3.043784e+02,3.043784e+02
3.739889e-01,2.989451e+02,2.989698e+02,2.989699e+02,2.989699e+02
3.807546e-01,2.936337e+02,2.936574e+02,2.936574e+02,2.936574e+02
3.876427e-01,2.884166e+02,2.884394e+02,2.884394e+02,2.884394e+02
3.946554e-01,2.832923e+02,2.833140e+02,2.833141e+02,2.833141e+02
4.017949e-01,2.782589e+02,2.782798e+02,2.782798e+02,2.782798e+02
4.090636e-01,2.733149e+02,2.733350e+02,2.733350e+02,2.733350e+02
4.164638e-01,2.684588e+02,2.684781e+02,2.684781e+02,2.684781e+02
4.239979e-01,2.636890e+02,2.637074e+02,2.637075e+02,2.637074e+02
4.316683e-01,2.590038e+02,2.590216e+02,2.590216e+02,2.590216e+02
4.394775e-01,2.544019e+02,2.544190e+02,2.544190e+02,2.544190e+02
4.474279e-01,2.498818e+02,2.498982e+02,2.498982e+02,2.498982e+02
4.555221e-01,2.454420e+02,2.454577e+02,2.454577e+02,2.454577e+02
4.637628e-01,2.410810e+02,2.410961e+02,2.410961e+02,2.410961e+02
4.721525e-01,2.367975e+02,2.368120e+02,2.368121e+02,2.368121e+02
4.806940e-01,2.325901e+02,2.326041e+02,2.326041e+02,2.326041e+02
4.893901e-01,2.284575e+02,2.284709e+02,2.284709e+02,2.284709e+02
4.982435e-01,2.243982e+02,2.244112e+02,2.244112e+02,2.244112e+02
5.072570e-01,2.204111e+02,2.204236e+02,2.204236e+02,2.204236e+02
5.164336e-01,2.164948e+02,2.165068e+02,2.165069e+02,2.165068e+02
5.257762e-01,2.126481e+02,2.126597e+02,2.126597e+02,2.126597e+02
5.352878e-01,2.088698e+02,2.088809e+02,2.088809e+02,2.088809e+02
5.449714e-01,2.051585e+02,2.051693e+02,2.051693e+02,2.051693e+02
5.548303e-01,2.015132e+02,2.015236e+02,2.015236e+02,2.015236e+02
5.648675e-01,1.979327e+02,1.979427e+02,1.979427e+02,1.979427e+02
5.750863e-01,1.944158e+02,1.944254e+02,1.944254e+02,1.944254e+02
