t_s,alpha_full,alpha_simplified
0.3340,0.700000,0.700000
0.3350,0.700000,0.700000
0.3360,0.700000,0.700000
0.3370,0.700000,0.700000
0.3380,0.700000,0.700000
0.3390,0.700000,0.700000
0.3400,0.700000,0.700000
0.3410,0.700000,0.700000
0.3420,0.700000,0.700000
0.3430,0.700000,0.700000
0.3440,0.700000,0.700000
0.3450,0.700000,0.700000
0.3460,0.700000,0.700000
0.3470,0.700000,0.700000
0.3480,0.700000,0.700000
0.3490,0.700000,0.700000
0.3500,0.700000,0.700000
0.3510,0.700000,0.700000
0.3520,0.700000,0.700000
0.3530,0.700000,0.700000
0.3540,0.700000,0.700000
0.3550,0.700000,0.700000
0.3560,0.700000,0.700000
0.3570,0.700000,0.700000
0.3580,0.700000,0.700000
0.3590,0.700000,0.700000
0.3600,0.700000,0.700000
0.3610,0.700000,0.700000
0.3620,0.700000,0.700000
0.3630,0.700000,0.700000
0.3640,0.700000,0.700000
0.3650,0.700000,0.700000
0.3660,0.700000,0.700000
0.3670,0.700000,0.700000
0.3680,0.700000,0.700000
0.3690,0.700000,0.700000
0.3700,0.700000,0.700000
0.3710,0.700000,0.700000
0.3720,0.700000,0.700000
0.3730,0.700000,0.700000
0.3740,0.700000,0.700000
0.3750,0.700000,0.700000
0.3760,0.700000,0.700000
0.3770,0.700000,0.700000
0.3780,0.700000,0.700000
0.3790,0.700000,0.700000
0.3800,0.700000,0.700000
0.3810,0.700000,0.700000
0.3820,0.700000,0.700000
0.3830,0.700000,0.700000
0.3840,0.700000,0.700000
0.3850,0.700000,0.700000
0.3860,0.700000,0.700000
0.3870,0.700000,0.700000
0.3880,0.700000,0.700000
0.3890,0.700000,0.700000
0.3900,0.700000,0.700000
0.3910,0.700000,0.700000
0.3920,0.700000,0.700000
0.3930,0.700000,0.700000
0.3940,0.700000,0.700000
0.3950,0.700000,0.700000
0.3960,0.700000,0.700000
0.3970,0.700000,0.700000
0.3980,0.700000,0.700000
0.3990,0.700000,0.700000
