t_s,step_ref,step_alpha_youlah,step_alpha_pi,step_r_cmd,ramp_ref,ramp_alpha
0.1160,0.7,0.700000,0.605189,0.700000,0.505300,0.504853
0.1170,0.7,0.700000,0.605236,0.700000,0.505350,0.504903
0.1180,0.7,0.700000,0.605284,0.700000,0.505400,0.504953
0.1190,0.7,0.700000,0.605331,0.700000,0.505450,0.505003
0.1200,0.7,0.700000,0.605378,0.700000,0.505500,0.505053
0.1210,0.7,0.700000,0.605426,0.700000,0.505550,0.505103
0.1220,0.7,0.700000,0.605473,0.700000,0.505600,0.505153
0.1230,0.7,0.700000,0.605520,0.700000,0.505650,0.505203
0.1240,0.7,0.700000,0.605568,0.700000,0.505700,0.505253
0.1250,0.7,0.700000,0.605615,0.700000,0.505750,0.505303
0.1260,0.7,0.700000,0.605662,0.700000,0.505800,0.505353
0.1270,0.7,0.700000,0.605709,0.700000,0.505850,0.505403
0.1280,0.7,0.700000,0.605756,0.700000,0.505900,0.505453
0.1290,0.7,0.700000,0.605803,0.700000,0.505950,0.505503
0.1300,0.7,0.700000,0.605851,0.700000,0.506000,0.505553
0.1310,0.7,0.700000,0.605898,0.700000,0.506050,0.505603
0.1320,0.7,0.700000,0.605945,0.700000,0.506100,0.505653
0.1330,0.7,0.700000,0.605992,0.700000,0.506150,0.505703
0.1340,0.7,0.700000,0.606039,0.700000,0.506200,0.505753
0.1350,0.7,0.700000,0.606086,0.700000,0.506250,0.505803
0.1360,0.7,0.700000,0.606133,0.700000,0.506300,0.505853
0.1370,0.7,0.700000,0.606180,0.700000,0.506350,0.505903
0.1380,0.7,0.700000,0.606227,0.700000,0.506400,0.505953
0.1390,0.7,0.700000,0.606274,0.700000,0.506450,0.506003
0.1400,0.7,0.700000,0.606320,0.700000,0.506500,0.506053
0.1410,0.7,0.700000,0.606367,0.700000,0.506550,0.506103
0.1420,0.7,0.700000,0.606414,0.700000,0.506600,0.506153
0.1430,0.7,0.700000,0.606461,0.700000,0.506650,0.506203
0.1440,0.7,0.700000,0.606508,0.700000,0.506700,0.506253
0.1450,0.7,0.700000,0.606554,0.700000,0.506750,0.506303
0.1460,0.7,0.700000,0.606601,0.700000,0.506800,0.506353
0.1470,0.7,0.700000,0.606648,0.700000,0.506850,0.506403
0.1480,0.7,0.700000,0.606695,0.700000,0.506900,0.506453
0.1490,0.7,0.700000,0.606741,0.700000,0.506950,0.506503
0.1500,0.7,0.700000,0.606788,0.700000,0.507000,0.506553
0.1510,0.7,0.700000,0.606835,0.700000,0.507050,0.506603
0.1520,0.7,0.700000,0.606881,0.700000,0.507100,0.506653
0.1530,0.7,0.700000,0.606928,0.700000,0.507150,0.506703
0.1540,0.7,0.700000,0.606974,0.700000,0.507200,0.506753
0.1550,0.7,0.700000,0.607021,0.700000,0.507250,0.506803
0.1560,0.7,0.700000,0.607067,0.700000,0.507300,0.506853
0.1570,0.7,0.700000,0.607114,0.700000,0.507350,0.506903
0.1580,0.7,0.700000,0.607160,0.700000,0.507400,0.506953
0.1590,0.7,0.700000,0.607207,0.700000,0.507450,0.507003
0.1600,0.7,0.700000,0.607253,0.700000,0.507500,0.507053
0.1610,0.7,0.700000,0.607299,0.700000,0.507550,0.507103
0.1620,0.7,0.700000,0.607346,0.700000,0.507600,0.507153
0.1630,0.7,0.700000,0.607392,0.700000,0.507650,0.507203
0.1640,0.7,0.700000,0.607439,0.700000,0.507700,0.507253
0.1650,0.7,0.700000,0.607485,0.700000,0.507750,0.507303
0.1660,0.7,0.700000,0.607531,0.700000,0.507800,0.507353
0.1670,0.7,0.700000,0.607577,0.700000,0.507850,0.507403
0.1680,0.7,0.700000,0.607624,0.700000,0.507900,0.507453
0.1690,0.7,0.700000,0.607670,0.700000,0.507950,0.507503
0.1700,0.7,0.700000,0.607716,0.700000,0.508000,0.507553
0.1710,0.7,0.700000,0.607762,0.700000,0.508050,0.507603
0.1720,0.7,0.700000,0.607808,0.700000,0.508100,0.507653
0.1730,0.7,0.700000,0.607854,0.700000,0.508150,0.507703
0.1740,0.7,0.700000,0.607900,0.700000,0.508200,0.507753
0.1750,0.7,0.700000,0.607947,0.700000,0.508250,0.507803
0.1760,0.7,0.700000,0.607993,0.700000,0.508300,0.507853
0.1770,0.7,0.700000,0.608039,0.700000,0.508350,0.507903
0.1780,0.7,0.700000,0.608085,0.700000,0.508400,0.507953
0.1790,0.7,0.700000,0.608131,0.700000,0.508450,0.508003
0.1800,0.7,0.700000,0.608176,0.700000,0.508500,0.508053
0.1810,0.7,0.700000,0.608222,0.700000,0.508550,0.508103
0.1820,0.7,0.700000,0.608268,0.700000,0.508600,0.508153
0.1830,0.7,0.700000,0.608314,0.700000,0.508650,0.508203
0.1840,0.7,0.700000,0.608360,0.700000,0.508700,0.508253
0.1850,0.7,0.700000,0.608406,0.700000,0.508750,0.508303
0.1860,0.7,0.700000,0.608452,0.700000,0.508800,0.508353
0.1870,0.7,0.700000,0.608498,0.700000,0.508850,0.508403
0.1880,0.7,0.700000,0.608543,0.700000,0.508900,0.508453
0.1890,0.7,0.700000,0.608589,0.700000,0.508950,0.508503
0.1900,0.7,0.700000,0.608635,0.700000,0.509000,0.508553
0.1910,0.7,0.700000,0.608680,0.700000,0.509050,0.508603
0.1920,0.7,0.700000,0.608726,0.700000,0.509100,0.508653
0.1930,0.7,0.700000,0.608772,0.700000,0.509150,0.508703
0.1940,0.7,0.700000,0.608817,0.700000,0.509200,0.508753
0.1950,0.7,0.700000,0.608863,0.700000,0.509250,0.508803
0.1960,0.7,0.700000,0.608909,0.700000,0.509300,0.508853
